pokedex_number,name,japanese_name,classfication,type1,type2,height_m,weight_kg,percentage_male,hp,speed,attack,sp_attack,defense,sp_defense,generation,is_legendary,base_egg_steps,experience_growth,capture_rate,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_happiness,base_total,abilities
14,Kakuna,Cocoonコクーン,Cocoon Pokémon,bug,poison,0.6,10,50,45,35,25,25,50,25,1,0,3840,1000000,120,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,205,['Shed Skin']
15,Beedrill,Spearスピアー,Poison Bee Pokémon,bug,poison,1,29.5,50,65,145,150,15,40,80,1,0,3840,1000000,45,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,495,"['Swarm', 'Sniper']"
16,Pidgey,Poppoポッポ,Tiny Bird Pokémon,normal,flying,0.3,1.8,50,40,56,45,35,40,35,1,0,3840,1059860,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,251,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
17,Pidgeotto,Pigeonピジョン,Bird Pokémon,normal,flying,1.1,30,50,63,71,60,50,55,50,1,0,3840,1059860,120,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,349,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
18,Pidgeot,Pigeotピジョット,Bird Pokémon,normal,flying,1.5,39.5,50,83,121,80,135,80,80,1,0,3840,1059860,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,579,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
19,Rattata,Korattaコラッタ,Mouse Pokémon,normal,dark,,,50,30,72,56,25,35,35,1,0,3840,1000000,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,253,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
20,Raticate,Rattaラッタ,Mouse Pokémon,normal,dark,,,50,75,77,71,40,70,80,1,0,3840,1000000,127,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,413,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
21,Spearow,Onisuzumeオニスズメ,Tiny Bird Pokémon,normal,flying,0.3,2,50,40,70,60,31,30,31,1,0,3840,1000000,255,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,262,"['Keen Eye', 'Sniper']"
22,Fearow,Onidrillオニドリル,Beak Pokémon,normal,flying,1.2,38,50,65,100,90,61,65,61,1,0,3840,1000000,90,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,442,"['Keen Eye', 'Sniper']"
23,Ekans,Arboアーボ,Snake Pokémon,poison,,2,6.9,50,35,55,60,40,44,54,1,0,5120,1000000,255,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,288,"['Intimidate', 'Shed Skin', 'Unnerve']"
24,Arbok,Arbokアーボック,Cobra Pokémon,poison,,3.5,65,50,60,80,95,65,69,79,1,0,5120,1000000,90,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,448,"['Intimidate', 'Shed Skin', 'Unnerve']"
25,Pikachu,Pikachuピカチュウ,Mouse Pokémon,electric,,0.4,6,50,35,90,55,50,40,50,1,0,2560,1000000,190,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,320,"['Static', 'Lightningrod']"
26,Raichu,Raichuライチュウ,Mouse Pokémon,electric,electric,,,50,60,110,85,95,50,85,1,0,2560,1000000,75,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,70,485,"['Static', 'Lightningrod', 'Surge Surfer']"
27,Sandshrew,Sandサンド,Mouse Pokémon,ground,ice,,,50,50,40,75,10,90,35,1,0,5120,1000000,255,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,300,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
28,Sandslash,Sandpanサンドパン,Mouse Pokémon,ground,ice,,,50,75,65,100,25,120,65,1,0,5120,1000000,90,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,450,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"
29,Nidoran♀,Nidoran?ニドラン♀,Poison Pin Pokémon,poison,,0.4,7,0,55,41,47,40,52,40,1,0,5120,1059860,235,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,275,"['Poison Point', 'Rivalry', 'Hustle']"
30,Nidorina,Nidorinaニドリーナ,Poison Pin Pokémon,poison,,0.8,20,0,70,56,62,55,67,55,1,0,5120,1059860,120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,365,"['Poison Point', 'Rivalry', 'Hustle']"
31,Nidoqueen,Nidoqueenニドクイン,Drill Pokémon,poison,ground,1.3,60,0,90,76,92,75,87,85,1,0,5120,1059860,45,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,70,505,"['Poison Point', 'Rivalry', 'Sheer Force']"
32,Nidoran♂,Nidoran?ニドラン♂,Poison Pin Pokémon,poison,,0.5,9,100,46,50,57,40,40,40,1,0,5120,1059860,235,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,273,"['Poison Point', 'Rivalry', 'Hustle']"
33,Nidorino,Nidorinoニドリーノ,Poison Pin Pokémon,poison,,0.9,19.5,100,61,65,72,55,57,55,1,0,5120,1059860,120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,365,"['Poison Point', 'Rivalry', 'Hustle']"
34,Nidoking,Nidokingニドキング,Drill Pokémon,poison,ground,1.4,62,100,81,85,102,85,77,75,1,0,5120,1059860,45,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,70,505,"['Poison Point', 'Rivalry', 'Sheer Force']"
35,Clefairy,Pippiピッピ,Fairy Pokémon,fairy,,0.6,7.5,24.6,70,35,45,60,48,65,1,0,2560,800000,150,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,140,323,"['Cute Charm', 'Magic Guard', 'Friend Guard']"
36,Clefable,Pixyピクシー,Fairy Pokémon,fairy,,1.3,40,24.6,95,60,70,95,73,90,1,0,2560,800000,25,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,140,483,"['Cute Charm', 'Magic Guard', 'Unaware']"
37,Vulpix,Rokonロコン,Fox Pokémon,fire,ice,,,24.6,38,65,41,50,40,65,1,0,5120,1000000,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,299,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
38,Ninetales,Kyukonキュウコン,Fox Pokémon,fire,ice,,,24.6,73,109,67,81,75,100,1,0,5120,1000000,75,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,505,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"
39,Jigglypuff,Purinプリン,Balloon Pokémon,normal,fairy,0.5,5.5,24.6,115,20,45,45,20,25,1,0,2560,800000,170,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,270,"['Cute Charm', 'Competitive', 'Friend Guard']"
40,Wigglytuff,Pukurinプクリン,Balloon Pokémon,normal,fairy,1,12,24.6,140,45,70,85,45,50,1,0,2560,800000,50,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,435,"['Cute Charm', 'Competitive', 'Frisk']"
41,Zubat,Zubatズバット,Bat Pokémon,poison,flying,0.8,7.5,50,40,55,45,30,35,40,1,0,3840,1000000,255,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,70,245,"['Inner Focus', 'Infiltrator']"
42,Golbat,Golbatゴルバット,Bat Pokémon,poison,flying,1.6,55,50,75,90,80,65,70,75,1,0,3840,1000000,90,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,70,455,"['Inner Focus', 'Infiltrator']"
43,Oddish,Nazonokusaナゾノクサ,Weed Pokémon,grass,poison,0.5,5.4,50,45,30,50,75,55,65,1,0,5120,1059860,255,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,320,"['Chlorophyll', 'Run Away']"
44,Gloom,Kusaihanaクサイハナ,Weed Pokémon,grass,poison,0.8,8.6,50,60,40,65,85,70,75,1,0,5120,1059860,120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,395,"['Chlorophyll', 'Stench']"
45,Vileplume,Ruffresiaラフレシア,Flower Pokémon,grass,poison,1.2,18.6,50,75,50,80,110,85,90,1,0,5120,1059860,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,490,"['Chlorophyll', 'Effect Spore']"
46,Paras,Parasパラス,Mushroom Pokémon,bug,grass,0.3,5.4,50,35,25,70,45,55,55,1,0,5120,1000000,190,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,285,"['Effect Spore', 'Dry Skin', 'Damp']"
47,Parasect,Parasectパラセクト,Mushroom Pokémon,bug,grass,1,29.5,50,60,30,95,60,80,80,1,0,5120,1000000,75,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,405,"['Effect Spore', 'Dry Skin', 'Damp']"
48,Venonat,Kongpangコンパン,Insect Pokémon,bug,poison,1,30,50,60,45,55,40,50,55,1,0,5120,1000000,190,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,305,"['Compoundeyes', 'Tinted Lens', 'Run Away']"
49,Venomoth,Morphonモルフォン,Poison Moth Pokémon,bug,poison,1.5,12.5,50,70,90,65,90,60,75,1,0,5120,1000000,75,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,70,450,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"
50,Diglett,Digdaディグダ,Mole Pokémon,ground,ground,,,50,10,90,55,35,30,45,1,0,5120,1000000,255,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,265,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
51,Dugtrio,Dugtrioダグトリオ,Mole Pokémon,ground,ground,,,50,35,110,100,50,60,70,1,0,5120,1000000,50,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,70,425,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"
52,Meowth,Nyarthニャース,Scratch Cat Pokémon,normal,dark,,,50,40,90,35,50,35,40,1,0,5120,1000000,255,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,290,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"
53,Persian,Persianペルシアン,Classy Cat Pokémon,normal,dark,,,50,65,115,60,75,60,65,1,0,5120,1000000,90,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,440,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"
54,Psyduck,Koduckコダック,Duck Pokémon,water,,0.8,19.6,50,50,55,52,65,48,50,1,0,5120,1000000,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,320,"['Damp', 'Cloud Nine', 'Swift Swim']"
55,Golduck,Golduckゴルダック,Duck Pokémon,water,,1.7,76.6,50,80,85,82,95,78,80,1,0,5120,1000000,75,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,500,"['Damp', 'Cloud Nine', 'Swift Swim']"
56,Mankey,Mankeyマンキー,Pig Monkey Pokémon,fighting,,0.5,28,50,40,70,80,35,35,45,1,0,5120,1000000,190,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,305,"['Vital Spirit', 'Anger Point', 'Defiant']"
57,Primeape,Okorizaruオコリザル,Pig Monkey Pokémon,fighting,,1,32,50,65,95,105,60,60,70,1,0,5120,1000000,75,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,455,"['Vital Spirit', 'Anger Point', 'Defiant']"
58,Growlithe,Gardieガーディ,Puppy Pokémon,fire,,0.7,19,75.4,55,60,70,70,45,50,1,0,5120,1250000,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,350,"['Intimidate', 'Flash Fire', 'Justified']"
59,Arcanine,Windieウインディ,Legendary Pokémon,fire,,1.9,155,75.4,90,95,110,100,80,80,1,0,5120,1250000,75,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,555,"['Intimidate', 'Flash Fire', 'Justified']"
60,Poliwag,Nyoromoニョロモ,Tadpole Pokémon,water,,0.6,12.4,50,40,90,50,40,40,40,1,0,5120,1059860,255,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,300,"['Water Absorb', 'Damp', 'Swift Swim']"
61,Poliwhirl,Nyorozoニョロゾ,Tadpole Pokémon,water,,1,20,50,65,90,65,50,65,50,1,0,5120,1059860,120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,385,"['Water Absorb', 'Damp', 'Swift Swim']"
62,Poliwrath,Nyorobonニョロボン,Tadpole Pokémon,water,fighting,1.3,54,50,90,70,95,70,95,90,1,0,5120,1059860,45,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,70,510,"['Water Absorb', 'Damp', 'Swift Swim']"
63,Abra,Caseyケーシィ,Psi Pokémon,psychic,,0.9,19.5,75.4,25,90,20,105,15,55,1,0,5120,1059860,200,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,310,"['Synchronize', 'Inner Focus', 'Magic Guard']"
64,Kadabra,Yungererユンゲラー,Psi Pokémon,psychic,,1.3,56.5,75.4,40,105,35,120,30,70,1,0,5120,1059860,100,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,400,"['Synchronize', 'Inner Focus', 'Magic Guard']"
65,Alakazam,Foodinフーディン,Psi Pokémon,psychic,,1.5,48,75.4,55,150,50,175,65,105,1,0,5120,1059860,50,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,70,600,"['Synchronize', 'Inner Focus', 'Magic Guard']"
66,Machop,Wanrikyワンリキー,Superpower Pokémon,fighting,,0.8,19.5,75.4,70,35,80,35,50,35,1,0,5120,1059860,180,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,305,"['Guts', 'No Guard', 'Steadfast']"
67,Machoke,Gorikyゴーリキー,Superpower Pokémon,fighting,,1.5,70.5,75.4,80,45,100,50,70,60,1,0,5120,1059860,90,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,405,"['Guts', 'No Guard', 'Steadfast']"
68,Machamp,Kairikyカイリキー,Superpower Pokémon,fighting,,1.6,130,75.4,90,55,130,65,80,85,1,0,5120,1059860,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,70,505,"['Guts', 'No Guard', 'Steadfast']"
69,Bellsprout,Madatsubomiマダツボミ,Flower Pokémon,grass,poison,0.7,4,50,50,40,75,70,35,30,1,0,5120,1059860,255,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,300,"['Chlorophyll', 'Gluttony']"
70,Weepinbell,Utsudonウツドン,Flycatcher Pokémon,grass,poison,1,6.4,50,65,55,90,85,50,45,1,0,5120,1059860,120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,390,"['Chlorophyll', 'Gluttony']"
71,Victreebel,Utsubotウツボット,Flycatcher Pokémon,grass,poison,1.7,15.5,50,80,70,105,100,65,70,1,0,5120,1059860,45,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,70,490,"['Chlorophyll', 'Gluttony']"
72,Tentacool,Menokurageメノクラゲ,Jellyfish Pokémon,water,poison,0.9,45.5,50,40,70,40,50,35,100,1,0,5120,1250000,190,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,335,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
73,Tentacruel,Dokukurageドククラゲ,Jellyfish Pokémon,water,poison,1.6,55,50,80,100,70,80,65,120,1,0,5120,1250000,60,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,515,"['Clear Body', 'Liquid Ooze', 'Rain Dish']"
74,Geodude,Isitsubuteイシツブテ,Rock Pokémon,rock,ground,,,50,40,20,80,30,100,30,1,0,3840,1059860,255,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,300,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
75,Graveler,Goloneゴローン,Rock Pokémon,rock,ground,,,50,55,35,95,45,115,45,1,0,3840,1059860,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,390,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
76,Golem,Golonyaゴローニャ,Megaton Pokémon,rock,ground,,,50,80,45,120,55,130,65,1,0,3840,1059860,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,495,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"
77,Ponyta,Ponytaポニータ,Fire Horse Pokémon,fire,,1,30,50,50,90,85,65,55,65,1,0,5120,1000000,190,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,410,"['Run Away', 'Flash Fire', 'Flame Body']"
78,Rapidash,Gallopギャロップ,Fire Horse Pokémon,fire,,1.7,95,50,65,105,100,80,70,80,1,0,5120,1000000,60,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,500,"['Run Away', 'Flash Fire', 'Flame Body']"
79,Slowpoke,Yadonヤドン,Dopey Pokémon,water,psychic,1.2,36,50,90,15,65,40,65,40,1,0,5120,1000000,190,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,315,"['Oblivious', 'Own Tempo', 'Regenerator']"
80,Slowbro,Yadoranヤドラン,Hermit Crab Pokémon,water,psychic,1.6,78.5,50,95,30,75,130,180,80,1,0,5120,1000000,75,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,70,590,"['Oblivious', 'Own Tempo', 'Regenerator']"
81,Magnemite,Coilコイル,Magnet Pokémon,electric,steel,0.3,6,,25,45,35,95,70,55,1,0,5120,1000000,190,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,70,325,"['Magnet Pull', 'Sturdy', 'Analytic']"
82,Magneton,Rarecoilレアコイル,Magnet Pokémon,electric,steel,1,60,,50,70,60,120,95,70,1,0,5120,1000000,60,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,70,465,"['Magnet Pull', 'Sturdy', 'Analytic']"
83,Farfetch'd,Kamonegiカモネギ,Wild Duck Pokémon,normal,flying,0.8,15,50,52,60,90,58,55,62,1,0,5120,1000000,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,377,"['Keen Eye', 'Inner Focus', 'Defiant']"
84,Doduo,Dodoドードー,Twin Bird Pokémon,normal,flying,1.4,39.2,50,35,75,85,35,45,35,1,0,5120,1000000,190,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,310,"['Run Away', 'Early Bird', 'Tangled Feet']"
85,Dodrio,Dodorioドードリオ,Triple Bird Pokémon,normal,flying,1.8,85.2,50,60,110,110,60,70,60,1,0,5120,1000000,45,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,70,470,"['Run Away', 'Early Bird', 'Tangled Feet']"
86,Seel,Pawouパウワウ,Sea Lion Pokémon,water,,1.1,90,50,65,45,45,45,55,70,1,0,5120,1000000,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,325,"['Thick Fat', 'Hydration', 'Ice Body']"
87,Dewgong,Jugonジュゴン,Sea Lion Pokémon,water,ice,1.7,120,50,90,70,70,70,80,95,1,0,5120,1000000,75,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,475,"['Thick Fat', 'Hydration', 'Ice Body']"
88,Grimer,Betbeterベトベター,Sludge Pokémon,poison,poison,,,50,80,25,80,40,50,50,1,0,5120,1000000,190,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,325,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
89,Muk,Betbetonベトベトン,Sludge Pokémon,poison,poison,,,50,105,50,105,65,75,100,1,0,5120,1000000,75,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,500,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"
90,Shellder,Shellderシェルダー,Bivalve Pokémon,water,,0.3,4,50,30,40,65,45,100,25,1,0,5120,1250000,190,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,305,"['Shell Armor', 'Skill Link', 'Overcoat']"
91,Cloyster,Parshenパルシェン,Bivalve Pokémon,water,ice,1.5,132.5,50,50,70,95,85,180,45,1,0,5120,1250000,60,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,70,525,"['Shell Armor', 'Skill Link', 'Overcoat']"
92,Gastly,Ghosゴース,Gas Pokémon,ghost,poison,1.3,0.1,50,30,80,35,100,30,35,1,0,5120,1059860,190,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,70,310,['Levitate']
93,Haunter,Ghostゴースト,Gas Pokémon,ghost,poison,1.6,0.1,50,45,95,50,115,45,55,1,0,5120,1059860,90,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,70,405,['Levitate']
94,Gengar,Gangarゲンガー,Shadow Pokémon,ghost,poison,1.5,40.5,50,60,130,65,170,80,95,1,0,5120,1059860,45,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,70,600,['Cursed Body']
95,Onix,Iwarkイワーク,Rock Snake Pokémon,rock,ground,8.8,210,50,35,70,45,30,160,45,1,0,6400,1000000,45,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,70,385,"['Rock Head', 'Sturdy', 'Weak Armor']"
