TV,Radio,Social.Media,Influencer,Sales
74,20.40464594,3.936969494,Mega,432.192915
90,31.10307277,6.854287446,Macro,491.8048601
64,23.08148805,3.056298128,Mega,463.6346619
37,16.50000902,3.138409019,Nano,274.361599
89,34.19286493,7.28093696,Macro,479.0295332
84,27.77118565,4.870181828,Macro,525.8876132
32,0.084174691,0.64327624,Micro,347.7590681
61,26.01795786,4.539550507,Mega,447.5672447
38,11.25013604,3.18319928,Micro,342.8627844
22,5.120816808,2.205299711,Micro,330.4437993
62,13.25095926,2.680226827,Mega,408.5118303
40,8.565813523,0.975294751,Mega,380.7063975
96,27.15106798,3.544254764,Macro,559.7863531
13,0.014486494,1.47170989,Nano,161.4627085
11,2.478502537,1.480315228,Nano,282.0506138
79,27.41497388,2.039587033,Macro,495.4790017
26,15.96243391,3.251310532,Micro,357.9499571
45,6.134131482,2.619106545,Micro,302.867321
68,18.5450234,3.901617087,Mega,439.3686985
28,13.44187653,5.166034391,Nano,189.441792
90,29.30928806,2.974964668,Macro,525.6667105
43,14.23410457,7.556928483,Micro,357.5346522
31,12.32745975,1.450388739,Nano,276.5974884
58,14.52240349,2.871804552,Macro,488.6807214
33,8.231079212,1.830718076,Nano,289.0473744
10,3.493645464,0.455395626,Nano,209.8061254
24,18.9731144,5.827214413,Nano,251.4164403
33,21.12198513,5.403303971,Micro,324.7952489
36,1.546544558,0.259152416,Micro,370.4371272
46,15.63311408,2.681854353,Micro,366.6176588
13,12.37241338,6.51582713,Nano,236.9166616
47,23.26848576,1.478256831,Micro,315.3239933
37,12.22871601,1.749290106,Nano,290.7678722
99,29.85251876,9.316561995,Macro,587.4932533
25,21.57160034,0.182594127,Nano,282.1579789
29,8.594467237,6.259991431,Nano,272.0483849
58,18.8625911,7.744558511,Micro,343.5454238
70,21.05815129,5.146705872,Mega,437.6408955
11,2.611100506,0.010188713,Nano,221.3789677
47,27.98651144,5.474037323,Micro,368.5056496
26,10.72282034,2.627919227,Nano,245.5290725
36,10.86043151,0.898713087,Micro,359.4045848
63,11.20427955,1.845740304,Mega,389.1719261
89,34.72354863,6.137642552,Mega,446.6277281
16,3.886887275,1.722977656,Nano,229.2738423
99,31.39714703,4.282725886,Macro,564.9487896
31,11.16309579,2.308968966,Nano,249.7321271
61,21.37665498,5.541438341,Micro,374.2245794
26,2.170693374,0.057924027,Nano,296.0394851
70,24.30970927,2.404004508,Mega,401.8954777
41,6.032826963,6.145541885,Micro,373.562564
94,24.21879807,3.462431445,Macro,534.4708774
33,14.23628106,1.756967978,Micro,351.9675485
73,22.86737608,0.968984226,Mega,443.3069561
10,5.426771527,2.378168163,Nano,225.9733498
64,20.50457042,4.530971142,Micro,341.4265235
24,15.57823282,0.613989803,Micro,351.9064366
22,4.477489767,1.52846934,Nano,168.4633666
20,12.22988349,5.542360445,Nano,254.9615275
63,27.00388098,4.800652099,Mega,409.3784244
14,3.047946161,0.998475322,Nano,210.3726476
80,29.3511274,5.061329165,Mega,461.0160532
22,8.277327114,0.572917278,Nano,245.2149383
68,26.99061065,2.552594587,Mega,420.9043252
15,13.56012868,3.317589703,Nano,180.8993447
53,18.85081371,4.566440958,Micro,371.8396763
72,20.22131618,6.062822259,Macro,509.7152938
67,22.5334402,1.805945665,Mega,449.9212836
32,16.97849321,3.037709099,Micro,325.1756006
94,16.78014184,2.965429418,Macro,517.3728769
61,22.40469773,6.194422557,Macro,469.7246714
56,20.84734986,4.647692649,Mega,440.8850153
74,31.10028424,4.276767478,Micro,379.7263389
40,13.94665782,2.117291138,Micro,345.6655965
48,14.59080695,0.457234705,Mega,400.2462876
19,7.064362055,0.782885709,Micro,338.831875
97,28.72454528,6.334771996,Macro,591.0960757
46,9.020878057,1.983441738,Mega,402.1132501
48,13.25588319,0.879221889,Micro,307.3564916
87,22.69202611,2.513637746,Macro,491.1719982
67,15.84088866,5.144712635,Mega,409.7632274
17,8.197932469,2.119872253,Nano,235.6583394
66,29.88664663,5.667107554,Micro,355.5529193
48,12.73575034,0.021272948,Micro,337.8278205
87,35.10610721,7.594133849,Macro,511.0441006
33,11.32773929,1.322383377,Nano,271.7263261
17,3.980308621,0.779478748,Micro,303.5372931
42,15.02521022,4.47224007,Nano,278.376076
74,29.52017002,2.333157382,Mega,397.8554859
98,34.94758415,3.385312582,Mega,412.8226091
100,28.59728685,6.150342746,Mega,444.860741
46,19.51073972,3.107126419,Micro,313.5082687
39,19.19282825,1.538106706,Micro,319.7289662
94,30.40243066,5.207841441,Macro,538.5342424
52,14.68622497,3.854732763,Nano,297.2797434
70,22.17449472,1.088762382,Macro,512.0559436
28,11.74288588,1.545790536,Micro,324.4516322
16,1.575240439,2.036787105,Nano,241.1573778
82,32.44415878,5.42544944,Mega,423.4629896
85,24.36995576,3.57934547,Macro,477.8472185
93,16.53028988,2.319053522,Macro,545.7172703
36,2.629061724,4.784614133,Nano,226.4664025
87,19.91736078,3.127906282,Macro,480.7321942
17,9.465577577,3.693051043,Nano,191.978497
37,13.33891846,2.531478926,Micro,328.7570711
43,13.99501231,0.845058595,Mega,409.3202678
97,22.64746328,3.287167403,Macro,542.4549026
64,14.60464647,1.769477138,Mega,426.0462328
33,13.46389184,1.837696108,Nano,291.9938324
45,8.41713121,4.06002921,Micro,308.2309194
17,6.644540939,0.889902454,Mega,399.9682689
19,2.386864323,0.60145585,Micro,317.7635444
68,21.07696395,1.240824206,Macro,514.0805286
32,13.33536154,2.344050692,Mega,382.6824047
15,0.388039549,1.104823047,Nano,234.8327826
97,34.03091596,4.107471029,Macro,568.0039048
43,15.18856944,0.760136913,Micro,338.7584543
52,19.74043808,3.888113029,Mega,425.2095251
44,12.5643202,4.04894823,Mega,411.4337053
29,9.002412712,0.609849942,Nano,301.2929049
13,0.426664164,1.40326962,Micro,377.0142947
60,19.08371682,2.884634332,Nano,291.0524833
50,18.90277978,0.953107406,Micro,364.9778312
21,1.380311071,5.286680958,Nano,267.2801383
75,20.34898797,1.227180495,Macro,541.7792989
31,9.926309363,2.270709178,Nano,270.7393901
62,26.58627729,4.520665601,Micro,346.2214452
86,31.98979236,4.802363644,Macro,570.5313138
88,35.4551909,4.091396616,Macro,474.9658752
38,7.908774227,0.143314224,Nano,259.1776102
44,19.01537456,6.543306951,Micro,321.3400327
25,3.894421609,1.756190542,Micro,328.0900485
87,35.64589864,5.481844244,Macro,585.9822078
56,21.41117235,3.944672626,Mega,406.8447018
55,24.07212451,5.369232218,Mega,429.8472453
11,1.877361105,1.31866338,Nano,210.4806451
66,22.33069931,4.741691262,Mega,399.1040094
52,31.47852666,8.214623871,Micro,358.3219509
46,15.43266188,1.018386283,Nano,287.8349259
95,35.16812138,6.795153993,Macro,536.6085719
17,7.002813809,0.236655441,Nano,250.3246296
92,31.23012284,7.478934482,Macro,611.5481726
30,22.46689109,4.616527829,Micro,302.5382066
68,23.5828261,4.234526407,Micro,373.1052204
26,13.93983343,0.613425435,Nano,276.6740834
91,35.43036545,4.872217981,Macro,474.3432007
89,39.10625599,,Macro,546.1825819
78,20.850507,0.903613579,Macro,490.8146386
60,22.35372075,0.940801841,Mega,427.3088747
95,33.7322487,2.828376137,Macro,542.5431365
38,16.08943737,2.525347278,Micro,341.3138195
36,0.066122663,0.947359723,Nano,295.7114732
100,36.07207366,7.602359551,Macro,660.2226303
40,17.89165524,4.098492828,Micro,306.0410492
52,11.05567279,2.339107702,Mega,406.078547
39,8.027424156,3.780097613,Micro,331.7661041
51,12.96221782,1.307508427,Micro,372.3356774
55,16.18407556,3.600790314,Micro,363.7248183
35,16.6133403,2.9376344,Micro,330.9834076
38,9.953269119,0.713255761,Micro,327.4672017
22,12.65418479,1.185976057,Nano,263.949993
17,0.961220384,0.748200591,Nano,229.5868958
35,19.97502187,3.222876164,Micro,347.6060014
12,14.72147021,0.316274429,Nano,172.8350676
28,15.73250128,7.952641069,Micro,366.9958961
94,29.08831186,4.337243376,Mega,459.891891
37,0.53868841,0.870266399,Nano,227.3461354
91,31.57090079,5.354754236,Macro,540.7827761
53,15.78634705,1.018862371,Micro,342.608511
48,14.41875328,3.117413536,Micro,302.2335565
11,1.77342788,1.882742602,Nano,209.3063081
32,15.224893,1.161446776,Micro,329.5269947
75,19.53226006,3.961231768,Mega,444.1307761
38,7.736680237,2.05960976,Mega,403.8816057
85,36.16908593,7.523611218,Macro,481.9628558
29,10.60776751,0.392276142,Nano,259.3837433
20,8.722931937,3.337461521,Nano,202.9629249
66,16.78678642,3.787461161,Mega,447.9641312
60,20.1149829,3.835213717,Mega,427.6901795
31,6.304845298,0.802279711,Micro,349.1784315
11,5.584323781,0.170465605,,
10,5.217558811,1.075065424,Nano,199.7154227
73,28.96041023,2.673042346,Macro,514.997454
44,12.23972705,3.772519962,Mega,380.8947238
15,10.41031566,1.834639961,Nano,252.726627
53,13.90281276,0.50415037,Mega,381.7663022
52,14.79010177,3.012857573,Micro,338.1811151
70,18.39714752,1.654340278,Mega,416.628555
96,37.6626967,6.313926027,Macro,542.4306028
80,26.98790612,3.081278114,Mega,426.5995214
57,16.22435758,2.816390044,Mega,437.2991666
66,17.00947877,6.048201516,Mega,457.6824671
38,12.36743196,2.412970462,Nano,299.0320437
26,4.561389512,1.791092844,Micro,302.4259996
56,11.11142837,2.25649175,Micro,348.954867
39,13.19598147,0.423432855,Mega,462.9985327
37,16.69619826,4.790839785,Nano,273.4769013
34,16.68732493,0.377600773,Nano,245.0817908
98,31.93407082,4.645249764,Macro,583.0067793
33,5.809820873,1.228691086,Micro,333.9497212
50,22.48656303,4.686640068,Nano,292.8552135
55,13.72729882,3.332910977,Micro,373.4920196
50,8.412303495,3.642783793,Micro,378.8296283
99,28.76670512,5.585103137,Macro,532.6125074
34,16.00345822,5.979958691,Nano,255.153037
48,12.5319978,1.825444389,Micro,374.5004271
27,9.235845656,2.963209488,Micro,364.9726792
86,29.91962703,6.312902998,Mega,463.1805762
33,19.33747589,0.742523265,Micro,341.7931522
82,33.96648288,9.127437448,Macro,484.3592108
66,18.14144822,6.39581212,,
44,19.00284737,4.362036251,Micro,349.6046103
84,21.84650885,1.464674884,Macro,543.2510153
100,28.65671877,3.518439608,Macro,572.5914053
52,20.59744192,5.687517289,Micro,363.9285855
89,29.91788025,7.203811959,Mega,422.7489054
18,10.13781443,3.181971706,Micro,308.3263857
61,24.66406819,0.643440065,Mega,380.6615723
21,12.14047899,2.424122986,Nano,235.1648332
100,36.67505326,7.344048307,Macro,545.1441431
49,13.50306851,0.392220254,Mega,380.9907947
58,20.76268193,4.156663595,Mega,419.8817666
36,13.68058332,2.503554117,Nano,277.7225235
66,32.8621864,8.186191406,Mega,422.0558102
32,7.070616403,2.235482268,Micro,324.7126136
83,28.35233604,3.111934148,Macro,567.0240123
53,17.36953424,4.404963491,Micro,329.7158771
59,21.29972944,6.145551611,Mega,391.4772218
48,16.11600234,1.698185318,Micro,346.678083
83,22.64766991,1.815303053,Macro,546.567264
35,13.51560013,2.032471444,Micro,358.631765
26,9.724543191,0.926883355,Nano,295.9568551
26,1.995924359,0.167337894,Nano,283.2107058
12,4.55390149,0.028845079,Nano,277.8697024
27,9.406938289,4.527243502,Nano,248.1388367
94,30.37270595,5.94611293,Mega,462.2850974
96,25.73667837,4.179366017,Macro,539.0169386
13,14.2755592,2.329490869,Nano,229.1211554
20,6.460315841,1.391487958,Nano,183.9151698
77,27.85366422,4.163342937,Macro,469.5045477
88,23.86766113,5.853575844,Macro,612.0649473
97,35.7618836,7.309638816,Macro,500.7690758
15,3.290238601,2.496801639,Micro,357.5503085
28,6.698580072,2.975868625,Nano,238.5661087
25,19.23206627,4.730563384,Micro,336.9181477
95,27.71756398,7.05784165,Macro,498.0569163
75,38.27143199,8.586450249,Macro,502.6663566
16,7.327697332,3.236219566,Nano,162.2670049
23,12.3698842,0.564642432,Nano,241.8746302
69,24.36246064,5.463176008,Mega,458.8401233
87,28.08387256,3.530834327,Mega,430.9077226
92,25.64876108,4.156526229,Macro,492.1991752
25,5.488755498,0.394929989,Nano,298.7110942
18,8.202802332,0.104486847,Nano,219.5036
70,19.83350146,2.169126347,Macro,475.0973329
93,25.64704705,5.12437604,Macro,488.6644853
74,20.16118814,2.57120506,Macro,480.8034391
43,28.08376176,4.45708679,Micro,328.0232983
40,6.840434393,2.21127782,Micro,318.6644849
40,8.209850573,5.633470777,Nano,270.9481636
68,20.85748443,5.305812168,Mega,447.9417774
21,6.753057335,1.970540402,Nano,298.1284365
73,25.14783209,3.786915705,Mega,410.8180344
78,15.73486797,0.509432226,Macro,541.1261504
66,26.44214863,3.116634564,Mega,430.979598
58,17.79137836,4.621131863,Mega,423.5762416
78,23.80959139,1.915047092,Macro,542.6225408
37,4.539363375,0.807812497,Nano,260.2677575
14,4.269271761,1.705284552,Micro,355.7513941
64,16.07763967,2.392235948,Mega,436.0582685
35,14.82454522,1.765247886,Micro,330.7196372
16,2.2842643,1.365836702,Nano,266.5634753
75,32.98398494,5.622825529,Macro,468.8718815
21,6.397648245,0.151215719,Nano,262.6515786
19,4.906580811,3.263641471,Nano,268.1525487
78,27.93358042,5.902596689,Mega,396.9185311
94,47.11629339,9.322957802,Macro,525.9835851
71,18.53215998,2.698179495,Micro,367.9880121
67,18.3929601,1.625678012,Mega,406.4578162
65,24.56354623,3.41966808,Mega,417.5174467
41,11.93316821,0.379865341,Micro,368.0033915
76,26.01264783,6.850737344,Macro,493.7691452
33,10.15050712,2.311200267,Nano,276.5154225
52,18.40548389,4.588627993,Mega,405.2520704
19,12.66996639,1.461187917,Micro,317.4082569
95,26.52648147,7.958528174,Macro,558.8407887
84,23.49099467,6.384877693,Macro,512.6655824
97,34.85516799,8.128920858,Macro,680.9785914
96,24.27437076,3.456332223,Macro,516.2028426
35,8.978475946,0.05362699,Mega,386.3424301
62,19.80149851,7.431546241,Macro,541.128121
70,30.47388738,5.704360367,Macro,498.7031102
92,29.34050811,4.968613722,Macro,489.4535949
89,32.45209007,4.445174089,Mega,389.8330764
58,13.86884055,0.415369459,Micro,342.448555
19,4.182629353,3.338355193,Nano,226.2583838
65,23.29031005,7.389827731,Mega,435.1625792
99,30.33118132,6.874902604,Macro,554.4027794
15,2.234293408,1.07771826,Nano,205.9520491
30,4.561312156,1.652759623,Nano,292.4977433
59,17.21377371,3.625658422,Micro,353.6347271
37,14.95661588,3.961661465,Nano,298.8582585
54,10.86707292,2.932960829,Mega,406.7847591
55,15.39492963,4.813227646,Mega,427.1510552
17,9.150564563,4.636304292,Nano,130.5908197
52,19.52140396,5.296023403,Micro,325.5472008
51,14.11560036,0.905750074,Mega,419.7789139
57,20.71769224,2.66330205,Mega,455.9813273
26,7.202913475,1.408307077,Micro,336.9604765
17,6.782228139,2.37336051,Nano,257.9857889
44,20.73054448,7.469616948,Micro,325.9222078
45,13.4913782,0.427454636,Micro,362.7445126
11,7.633014867,4.595993855,Nano,122.538086
42,15.8073374,3.194924641,Micro,353.0528544
100,39.30321723,7.077221972,Macro,514.6465725
87,36.12613503,6.662022421,Macro,529.3542558
76,34.27923262,7.940107984,Mega,461.5804596
59,24.00006894,2.348452517,Mega,439.2378204
64,22.85140519,0.667171404,Mega,431.6617547
70,29.74677107,4.842879655,Mega,429.0618332
41,18.82047294,2.036738638,Micro,356.1635322
30,6.767266093,2.455374837,Micro,361.9906305
79,26.4735364,7.295709647,Mega,402.8470305
67,18.89763578,4.219195092,Macro,476.651067
11,6.244162288,0.759346585,Nano,287.6099134
16,17.75660719,4.547851426,Nano,165.5562049
29,18.18480338,1.570359462,Micro,315.6169302
85,27.89100194,7.145666677,Macro,541.7541395
81,29.09884013,3.436515796,Macro,501.8276835
30,5.232195406,2.164882999,Micro,311.1406034
34,0.226326491,2.372705624,Micro,336.872397
98,30.95609029,8.511028129,Macro,470.5710402
28,9.812923503,0.369971776,Nano,284.8684154
25,12.01841398,4.143639285,Nano,200.7769133
92,32.16716867,6.726771343,Macro,561.7912952
40,12.18911788,2.852072048,Micro,324.1320355
47,17.37652562,1.905040273,Mega,407.1460549
20,14.68531892,2.331899828,Nano,258.3407995
22,3.482537558,1.146371254,Nano,299.2113879
47,16.5207045,0.595258971,Mega,429.5006519
45,7.116575677,2.3036211,Mega,405.3072657
59,25.75238399,3.388303521,Micro,313.6089326
83,31.67189416,3.754571593,Macro,538.539646
23,7.568249276,1.344170818,Micro,302.3790093
63,26.03598627,3.290816886,Mega,462.5634367
37,10.00031472,0.039404657,Nano,281.3150831
34,5.781911269,2.625228759,Nano,256.0520071
16,1.871599257,1.877711405,Micro,308.2565691
30,4.448543912,1.895344267,Nano,283.2756657
92,28.84839121,2.581624373,Macro,596.619234
23,2.032868017,1.433139817,Nano,231.5986698
96,33.9560652,7.22447439,Macro,523.3113617
97,39.23230636,3.698661076,Macro,560.2489801
21,1.086564488,1.233637133,Nano,221.5442755
64,27.02480286,3.399217629,Macro,532.2068528
69,29.59440206,8.243715012,Mega,429.4292091
16,2.733787211,0.051444257,Micro,347.0264105
74,29.34550253,3.295645315,Mega,432.8110031
67,18.24098393,0.564129081,Macro,537.2197795
42,6.69975335,2.161864768,Micro,326.9382368
77,36.05245844,5.137853745,Macro,473.4857471
80,26.88480845,6.158385471,Micro,372.6409794
97,31.59758582,6.09616703,Macro,508.3763305
68,26.21474469,5.257853498,Mega,399.7044233
29,12.86904427,5.144390057,Nano,299.4140553
28,18.40492335,2.688172679,Nano,242.4899928
24,4.014313143,1.258968767,Nano,216.7163852
40,10.48745064,2.202956943,Micro,330.5268638
20,10.17960343,1.182064453,Nano,149.9292205
45,15.74523453,0.344629786,Macro,465.9237422
93,23.00790846,4.42627669,Macro,593.2124588
74,19.11490912,4.485970525,Macro,484.8763116
34,4.444784543,1.415729265,Micro,319.4544492
67,22.28131803,5.024264569,Mega,454.7979123
89,23.53301297,1.37947462,Macro,507.7022054
93,29.60636034,4.53404604,Macro,537.5598464
32,14.48736052,0.931805763,Micro,306.5772092
36,11.64101703,1.088920803,Micro,306.6476943
24,9.225854712,3.542555386,Nano,229.7984918
58,13.30369009,4.383672242,Mega,461.3879541
82,35.05290297,5.145975121,Macro,472.3418779
13,0.431127823,2.229423022,Nano,274.0070451
51,24.91648619,4.628289393,Micro,325.7638559
44,16.55078519,5.075482015,Nano,283.927095
99,33.3817234,8.147554697,Macro,498.1556146
88,31.06040008,5.598760009,Macro,472.5377354
55,10.29724464,1.36503372,Mega,454.1468155
65,19.43854953,1.017771272,Mega,462.9503945
69,19.65653268,3.380057305,Mega,450.1832786
87,,9.215618373,Macro,513.6163989
42,6.58132946,1.641510704,Micro,302.4888969
56,25.32563097,2.071338689,Macro,464.0125389
74,26.13517633,5.781930642,Micro,368.0193642
22,4.85349411,0.017377461,Micro,340.023838
32,10.27783551,0.773331129,Micro,328.1567647
98,30.10192414,6.11314931,Macro,543.1717173
44,14.63163885,0.635238342,Micro,375.8999394
89,13.60007097,0.016116571,Mega,459.4233294
25,8.577294801,1.765273027,Nano,238.6982147
25,9.788056925,0.503682531,Nano,266.993753
11,0.038150719,0.266766715,Nano,252.0671008
79,20.55638571,2.57738922,Macro,465.9783877
41,17.50679395,1.258508241,Micro,360.0100908
49,15.4419208,0.064057634,Micro,350.937642
41,15.399307,1.168398986,Nano,246.7797663
21,2.669395217,1.602543732,Nano,211.9171545
42,8.342327563,4.017463021,Micro,344.1301388
45,12.98767686,2.977329727,Mega,411.1569741
11,0.216101168,0.753242703,Nano,256.1092724
17,5.114304619,0.260751503,Micro,302.1352279
13,0.700883,1.089991801,Micro,310.5766166
35,14.1368135,1.571675673,Nano,263.9256933
13,1.237598531,2.447639874,Micro,360.6928427
48,6.591213206,0.763794602,Mega,428.7199653
32,5.58329736,1.811827945,Nano,287.3236698
72,18.15760992,3.376908824,Macro,499.3746736
46,18.90404688,3.609313091,Micro,328.271423
88,25.78893457,5.871907356,Macro,480.5455414
93,24.64119515,4.856110743,Mega,448.0536465
75,19.52474885,2.011565642,Mega,459.8827279
33,8.767063323,3.074580992,Nano,244.2796894
75,31.22615523,4.872158084,Mega,408.051227
20,8.556137899,2.255180617,Nano,217.0339676
77,28.94958279,1.239417276,Micro,372.7880871
52,17.11323977,2.638642418,Micro,338.9055152
77,28.46882717,3.439719406,Mega,436.7236397
93,32.52159528,6.428194995,Macro,574.8439397
24,12.79448447,3.973162998,Micro,337.4147951
30,7.570742919,0.732234227,Micro,321.3255932
49,17.4557372,3.492273273,Micro,309.5369851
31,9.170028162,1.012183081,Nano,301.890928
75,23.62623841,6.199769157,Mega,463.4331631
33,16.36099547,2.198071571,Micro,364.430883
24,4.583280072,1.76559653,Nano,260.226811
87,25.71992906,4.324441808,Macro,565.8492619
30,6.433771661,0.718034664,Mega,383.4124299
65,22.01819072,3.352790007,Mega,392.6111636
39,10.42906573,4.37599992,Nano,217.7110012
20,0.898598086,0.364684826,Nano,288.7399472
18,6.175359183,1.206347827,Nano,224.3439019
69,19.7854764,2.708754057,Macro,492.967266
21,9.687797959,3.394478002,Nano,256.9494802
57,17.26553001,3.183217517,Mega,392.0781213
48,17.88145952,0.076059762,Mega,456.9862863
27,14.0173457,2.473259935,Nano,247.8403275
26,2.411407696,1.128846504,Nano,293.651761
72,26.44800535,3.509245812,Macro,513.1680618
23,6.662270909,0.142948635,Nano,238.16528
14,7.528707085,0.62760563,Nano,235.6544278
43,5.53180147,0.738537115,Micro,313.0093058
13,1.311583983,0.91786893,Nano,139.2562722
12,5.30937103,0.886191819,Micro,304.5879031
