incident_severity,fog_density,couns_exp_lvl,full_moon
52.831,64,Experienced,1
65.136,79.7,None,0
47.642,80.5,Novice,0
78.965,72.1,None,1
39.572,50,None,0
88.4,70.89999999999999,None,1
63.417,85.7,None,0
60.072,82.89999999999999,None,0
63.209,76.3,None,0
39.746,56.39999999999999,Experienced,0
51.515,85.8,Experienced,0
80.131,79.4,None,0
37.61,74.7,Experienced,0
39.287,77.60000000000001,Experienced,0
64.41,73.9,None,0
38.413,56.89999999999999,None,0
45.346,54.7,Experienced,0
57.517,62.1,Experienced,1
48.178,59.199999999999996,None,0
66.666,69.69999999999999,None,1
70.722,64.60000000000001,None,1
54.093,73,None,0
58.369,78.2,Novice,1
71.249,93.30000000000001,Experienced,1
39.591,76.4,None,0
61.969,67.9,None,0
71.089,78,None,0
48.115,78.7,Experienced,0
72.95,71.7,Novice,1
45.378,62.7,None,0
59.063,58.599999999999994,Novice,0
61.766,79.2,Novice,0
37.058,30.099999999999998,None,1
36.75,47.199999999999996,None,0
54.903,39.300000000000004,Experienced,0
69.163,91.3,None,0
52.489,81.69999999999999,Novice,0
59.953,80.80000000000001,None,0
78.079,85.1,Novice,0
76.246,84.2,None,1
58.015,82.1,Experienced,1
72.949,98.2,None,0
56.222,61.199999999999996,Novice,0
47.98,72.6,Experienced,0
32.992,53.300000000000004,Novice,0
40.816,94.69999999999999,Experienced,0
67.459,88,Novice,1
62.441,70.19999999999999,Experienced,1
60.472,83.39999999999999,Experienced,0
59.646,71.7,Experienced,0
40.062,48.5,Experienced,0
78.785,95.39999999999999,Novice,1
57.452,64.60000000000001,Experienced,1
76.395,78.3,None,1
35.244,41.5,None,0
74.797,91.4,Novice,1
65.585,70.19999999999999,None,0
50.374,69.39999999999999,Experienced,0
48.615,71,None,0
34.266,53.6,Novice,0
45.528,50.2,None,0
47.738,57.8,Experienced,1
56.808,82.8,Novice,1
70.055,50.6,Novice,1
47.224,58.199999999999996,Experienced,1
68.752,85.2,None,0
58.986,74.1,None,1
58.991,75.6,Novice,0
67.312,74.2,None,0
33.003,65.10000000000001,Novice,0
63.609,81.2,Novice,0
50.298,59.699999999999996,Experienced,0
59.825,78.60000000000001,Experienced,0
45.118,54.800000000000004,Experienced,0
22.108,60.699999999999996,Experienced,0
83.109,89.2,Experienced,1
43.147,62.9,Novice,0
43.151,63.1,None,0
57.641,94.39999999999999,Experienced,0
48.302,41.6,None,1
72.765,77.60000000000001,None,0
33.133,56.599999999999994,Experienced,0
47.169,35.4,Experienced,1
38.3,57.8,Experienced,0
64.187,84.39999999999999,Novice,1
30.04,56.99999999999999,Novice,0
76.134,79,None,1
100,87.9,None,1
67.012,80.30000000000001,Novice,1
79.889,89.2,None,1
71.097,79.9,None,1
68.259,87.8,None,0
46.297,84.1,None,0
32.939,51.6,None,0
81.894,77.7,None,1
58.715,64,Novice,0
38.586,79.80000000000001,Experienced,0
42.635,75.5,Experienced,0
49.737,45.9,None,0
49.578,87.7,Novice,0
40.197,46.300000000000004,Experienced,0
61.907,71.7,None,0
42.383,43.5,Novice,0
40.949,53.1,Novice,0
57.552,74.3,None,0
36.964,81.89999999999999,Novice,0
62.009,78.3,Experienced,1
59.256,77.60000000000001,None,0
68.924,71.39999999999999,None,1
44.35,78.3,None,0
30.707,55.50000000000001,Experienced,0
70.499,66.5,Novice,1
47.106,91.3,Experienced,0
48.115,62.8,Experienced,0
45.237,44.800000000000004,Novice,0
34.003,35.5,Novice,0
61.446,55.7,Novice,0
46.249,48.8,Experienced,1
39.831,85.8,None,0
71.271,75.1,Novice,0
87.045,83.8,None,1
36.484,84.2,Experienced,0
61.312,56.599999999999994,None,0
59.051,65.7,None,1
59.001,77,Novice,0
57.162,85.6,Novice,0
39.497,85.5,Experienced,0
29.679,50.6,Experienced,0
56.19,82.89999999999999,Experienced,1
42.07,44.3,None,1
65.769,70.3,Novice,1
70.413,72.8,None,0
88.184,97.3,Novice,0
39.031,77.7,Experienced,0
74.98,90.2,None,0
58.647,89.1,Experienced,0
76.872,87.6,None,0
57.408,87.4,Novice,0
92.946,89.60000000000001,None,1
49.64,60.3,Experienced,0
39.42,50.3,None,0
50.399,83.1,Novice,0
37.634,63.800000000000004,Experienced,0
67.129,92.2,None,0
65.361,99.2,Novice,0
70.197,86.7,None,1
66.393,84.89999999999999,None,1
35.721,46.7,Experienced,0
36.077,70.3,Experienced,0
55.383,88.8,None,0
57.584,77.3,Experienced,0
36.938,55.1,Experienced,0
52.398,66.4,None,0
58.141,80.80000000000001,Novice,0
45.911,71.5,Novice,0
62.998,83.2,Novice,0
36.123,75,Experienced,0
62.524,64.60000000000001,None,0
75.028,95.89999999999999,None,0
68.658,61.7,None,1
73.354,83.39999999999999,None,1
72.09,69,None,1
44.424,41.3,None,0
75.018,91.9,Experienced,1
34.52,74.8,Novice,0
41.022,52.1,Experienced,1
45.151,74.2,Novice,0
47.052,75.2,Experienced,0
51.3,78.8,Experienced,0
21.758,41.099999999999994,Experienced,0
56.029,71.2,Novice,0
58.295,90,Novice,0
30.586,64.2,Novice,0
64.373,97.39999999999999,Experienced,0
30.066,48.5,Novice,0
90.095,92.2,None,0
52.599,41.199999999999996,Novice,1
13.948,38.800000000000004,Experienced,0
37.868,66.60000000000001,None,0
65.434,92,None,1
45.426,86.8,Novice,0
76.329,81.5,None,1
51.385,55.400000000000006,None,0
77.78,83.8,Experienced,1
47.557,69.69999999999999,Experienced,0
71.899,92.5,None,1
51.067,77.3,Experienced,0
44.509,76.6,Experienced,0
21.857,41.3,Novice,0
68.63,96.89999999999999,None,0
68.159,94.39999999999999,None,1
69.533,84.2,Novice,0
43.437,62.7,Experienced,1
51.71,46,None,0
83.15,89.5,Experienced,1
76.742,90.4,None,0
49.575,58.8,None,0
30.58,33.900000000000006,Experienced,1
58.04,87.4,None,1
47.768,42.6,None,0
59.792,62.1,Novice,1
63.125,91,None,0
82.738,81.39999999999999,None,1
0,50.2,Experienced,0
33.44,65.9,Novice,0
35.53,75.9,Experienced,0
52.061,79.4,Experienced,0
60.809,77.3,Novice,0
60.683,76.4,None,0
45.658,47.599999999999994,Novice,1
86.953,90.60000000000001,None,0
32.716,64.2,Experienced,0
51.876,44.5,None,0
55.357,64.5,None,1
69.84,96.3,None,0
21.247,32.7,Experienced,0
75.27,69.19999999999999,None,0
37.242,39.300000000000004,Novice,0
49.635,50.2,None,0
46.772,76.5,None,0
70.286,68.30000000000001,Novice,1
44.324,60.9,None,0
53.001,56.00000000000001,None,0
36.126,74.7,None,0
