id,sex,media,belief,d
216,Male,Mockumentary,Low,4.085015552796843
217,Female,Mockumentary,Low,3.554817197657334
218,Female,Documentary,High,2.946207822293734
219,Male,Mockumentary,High,2.3380827076101234
220,Female,Control,High,3.178900558854538
221,Female,Documentary,Low,1.2106786891137713
222,Female,Control,High,1.6124797190819846
223,Female,Mockumentary,High,2.2026171885668586
224,Female,Documentary,High,0.7443199653646699
225,Male,Control,High,2.2459686666383116
226,Female,Mockumentary,High,3.0384845303136645
227,Female,Mockumentary,Low,1.8723261201972792
228,Male,Mockumentary,High,0.8670727439999444
229,Female,Documentary,Low,2.628964242269478
230,Male,Control,High,2.835451511104751
231,Female,Mockumentary,High,2.801978575763757
232,Male,Control,Low,2.528268752638042
233,Female,Control,High,2.9523618604893436
234,Female,Control,Low,1.0218149929261793
235,Female,Documentary,High,1.9464479416758587
236,Female,Documentary,Low,3.381967856217912
237,Female,Control,Low,2.7596100335012217
238,Female,Mockumentary,High,1.2429862739394177
239,Female,Control,Low,2.234956698497031
240,Female,Mockumentary,Low,
241,Male,Documentary,High,1.9843899490700116
242,Female,Documentary,High,2.4455753080472618
243,Male,Mockumentary,Low,0.6982881040035744
244,Male,Mockumentary,Low,0.9569848130657383
245,Female,Control,Low,0.19446177310717339
246,Female,Mockumentary,High,3.0133061090194584
247,Male,Control,High,3.2125299455901972
248,Female,Control,Low,3.8312287177418582
249,Female,Mockumentary,Low,1.3505497412424612
250,Female,Control,Low,2.089624952020638
251,Male,Mockumentary,High,2.5239787783151617
252,Female,Control,Low,2.3961322057308303
253,Male,Control,Low,1.868679315257238
254,Female,Control,Low,2.933386352323276
255,Female,Mockumentary,High,1.3850203521226008
256,Female,Mockumentary,Low,2.3362751719633637
257,Female,Control,High,4.265383561332892
258,Female,Documentary,Low,1.7152752804279543
259,Female,Mockumentary,High,4.392812765886642
260,Female,Control,Low,1.2203539676728639
261,Female,Documentary,Low,2.2061325370711704
262,Female,Mockumentary,High,1.7399734548269452
263,Female,Control,Low,2.941895166700843
264,Female,Mockumentary,High,-0.004819124240681871
265,Female,Control,Low,2.1665000740910725
266,Female,Mockumentary,High,-0.4014390776999379
267,Male,Mockumentary,Low,0.718322808450216
268,Female,Documentary,Low,0.6025701364803178
269,Female,Documentary,Low,2.034764927034067
270,Female,Documentary,High,2.8185464360434476
271,Female,Control,High,2.487201392848816
272,Female,Control,Low,0.9528702032222165
273,Male,Control,High,2.2025911398660716
274,Female,Documentary,High,2.678308661447626
275,Female,Control,Low,1.7838707371798561
276,Female,Documentary,Low,2.4351350011433923
277,Female,Documentary,Low,1.237461889477403
278,Female,Control,High,2.1277698656941952
279,Male,Control,High,1.5521790647742855
280,Female,Mockumentary,Low,1.1758694753697336
281,Female,Documentary,High,4.072195388600407
282,Female,Documentary,Low,3.106017525641726
283,Male,Documentary,Low,2.087509046500666
284,Male,Control,High,1.9359507505918394
285,Female,Documentary,High,3.4992202737924325
286,Male,Mockumentary,Low,2.053466784979472
287,Male,Control,High,2.838447258885628
288,Female,Control,High,1.5880183730913093
289,Female,Mockumentary,High,0.6339995021632561
290,Female,Mockumentary,Low,1.879157575374633
291,Male,Mockumentary,High,1.9214073540450525
292,Male,Mockumentary,Low,0.8618554921865389
293,Female,Documentary,High,2.942372950817575
294,Female,Documentary,Low,3.3535662648555524
295,Female,Mockumentary,Low,1.1182528748565836
296,Male,Control,Low,1.1287992168428147
297,Male,Control,Low,2.6655878454166437
298,Male,Control,Low,1.234096368625953
299,Female,Documentary,High,4.000111642904592
300,Female,Mockumentary,High,2.296401361535195
301,Male,Mockumentary,High,1.5545600944205782
302,Female,Documentary,Low,1.5091041105423582
303,Male,Control,Low,2.156792356507809
304,Male,Control,High,1.366022570079405
305,Male,Control,Low,1.5551273423867449
306,Female,Mockumentary,Low,3.263267209954869
307,Female,Mockumentary,High,0.7330453797940629
308,Female,Documentary,Low,2.353775302961915
309,Female,Control,Low,0.8792648316625213
310,Female,Mockumentary,Low,2.254941425816104
311,Male,Documentary,Low,2.643568541429844
312,Female,Mockumentary,Low,2.4372090174809817
313,Male,Control,Low,3.1157734194858735
314,Male,Control,High,
315,Male,Mockumentary,Low,0.4321212711164406
316,Female,Documentary,Low,2.5538192115674803
317,Female,Mockumentary,Low,2.8160235740025037
318,Female,Control,High,1.653728590462228
319,Female,Control,High,1.7210409027287505
320,Female,Mockumentary,Low,2.890571476306255
321,Female,Control,Low,2.7015388672250675
322,Female,Control,High,3.326266153416179
323,Male,Mockumentary,High,1.774168839806384
324,Female,Control,High,1.0846383826337311
325,Male,Documentary,Low,2.182553023690962
326,Female,Documentary,High,0.5110044719336764
327,Male,Mockumentary,Low,0.859241689357124
328,Female,Mockumentary,High,0.6176476716743134
329,Female,Control,High,1.5621689663462397
330,Female,Mockumentary,High,2.170644666133156
331,Female,Documentary,Low,2.1319482160187126
332,Female,Control,Low,1.2890873354990955
333,Female,Documentary,Low,3.1207849416121842
334,Female,Control,Low,1.2268652681660006
335,Female,Control,High,1.753936119205633
336,Female,Documentary,High,2.835948476355732
337,Male,Documentary,High,2.464139412866702
338,Female,Documentary,High,1.244555481178089
339,Male,Documentary,Low,0.9585345625191692
340,Female,Mockumentary,Low,0.4930617561994608
341,Female,Documentary,High,2.3268506188059512
342,Female,Mockumentary,Low,4.007319539644884
343,Female,Control,High,1.48624693377606
344,Female,Documentary,High,2.5418274500101488
345,Female,Documentary,High,3.277515823965561
346,Male,Control,Low,4.040405618141181
347,Male,Documentary,High,0.2832497836405383
348,Female,Control,High,1.6570593728741425
349,Female,Documentary,Low,0.7119009309930167
350,Male,Mockumentary,Low,0.27647552307063505
351,Female,Control,High,2.7349725093140087
352,Female,Mockumentary,Low,3.1670187292134413
353,Female,Control,Low,0.5846019827404736
354,Female,Documentary,Low,2.182242921027668
355,Female,Mockumentary,High,2.6244641009787415
356,Male,Mockumentary,Low,-0.06071925443349624
357,Male,Mockumentary,High,1.4061573128171911
358,Female,Mockumentary,Low,-0.12584991005799484
359,Female,Mockumentary,High,1.6816513832684452
360,Male,Control,High,1.6463259891216957
361,Female,Mockumentary,Low,1.779938692149841
362,Female,Documentary,Low,
363,Male,Documentary,Low,2.15581445914591
364,Male,Documentary,Low,2.524943140300189
365,Female,Control,Low,1.7004307760679207
366,Female,Documentary,High,3.686070474448159
367,Female,Mockumentary,High,0.9541445918017373
368,Female,Documentary,High,2.9213989530546085
369,Female,Documentary,Low,2.0514406418394087
370,Female,Mockumentary,High,-0.019001133128632164
371,Female,Control,Low,2.8810840244041596
372,Female,Mockumentary,High,0.8066424788497633
373,Female,Mockumentary,High,2.6135966716960066
374,Female,Control,High,1.4183823881048818
375,Female,Control,Low,1.0443270251571686
376,Female,Documentary,High,2.602667449493786
377,Male,Control,High,2.0573366367147163
378,Female,Control,High,1.2228588269886398
379,Female,Documentary,High,2.0690988786054145
380,Female,Documentary,High,2.193862616660244
381,Female,Mockumentary,Low,2.4476911946432107
382,Male,Mockumentary,High,1.6337808311689062
383,Female,Control,High,1.7408224156653664
384,Female,Documentary,High,1.4365280949551609
385,Female,Control,High,1.9613495639652574
386,Male,Control,Low,2.125520624920621
387,Female,Mockumentary,Low,1.6617562551831309
388,Female,Mockumentary,High,3.1518236578630474
389,Female,Mockumentary,High,1.7094170025068667
390,Female,Documentary,High,3.780794954623185
391,Male,Control,Low,1.49082409095267
392,Male,Mockumentary,Low,1.7610346947843971
393,Female,Mockumentary,High,2.2605742981446717
394,Male,Mockumentary,High,2.959916313184009
395,Female,Control,High,1.9990373946695368
396,Female,Control,High,3.2715206136512904
397,Female,Mockumentary,High,1.4409536514143253
398,Female,Mockumentary,High,1.552640225701639
399,Male,Documentary,Low,1.6928153493565032
400,Male,Documentary,Low,1.2296293864964896
401,Female,Documentary,Low,3.3207531148973697
402,Female,Documentary,High,2.648511199949933
403,Male,Mockumentary,Low,2.6810223683518517
404,Female,Mockumentary,High,0.748088213655003
405,Female,Documentary,Low,2.2409626987103954
406,Female,Documentary,High,2.295309809852331
407,Female,Documentary,Low,1.9278422279613132
408,Male,Documentary,Low,2.1151472018531345
409,Female,Mockumentary,High,1.3433383841843072
410,Female,Documentary,High,4.14476257670163
411,Female,Documentary,High,4.636545557761512
412,Male,Mockumentary,High,0.8251359404707356
413,Female,Documentary,High,4.709276296687646
414,Male,Mockumentary,Low,1.2631878571498665
415,Female,Mockumentary,High,0.5175768288781206
416,Female,Mockumentary,High,0.7218374885408586
417,Female,Documentary,High,1.8782906600918408
418,Female,Control,High,3.309250762429173
419,Female,Documentary,High,1.6682600521643147
420,Male,Documentary,High,2.7038590016711295
421,Female,Mockumentary,Low,0.632535327392707
422,Female,Mockumentary,High,0.5655183281929648
423,Female,Documentary,High,3.36020457687312
424,Female,Control,Low,1.8692650277160907
425,Female,Documentary,Low,1.8784823164622917
426,Female,Control,Low,1.5155821503389717
427,Male,Control,Low,1.144234386446629
428,Male,Control,High,0.7290809945366383
429,Female,Control,Low,1.7604456618676703
430,Male,Documentary,High,3.3282428147489784
431,Female,Documentary,Low,1.7339504848820964
432,Female,Documentary,Low,1.5799957752307408
433,Male,Control,Low,2.216344514083855
434,Male,Mockumentary,High,1.8823594404444473
435,Male,Control,High,3.6663626145261246
436,Male,Documentary,Low,1.7008573893925476
437,Female,Mockumentary,High,0.8037875751468385
438,Female,Control,High,0.7845635815731922
439,Female,Documentary,Low,1.7235033818385515
440,Female,Mockumentary,Low,0.6967852165807431
441,Female,Mockumentary,Low,2.2890421512601247
442,Female,Mockumentary,Low,2.5463340451398233
443,Female,Control,High,1.795218994428772
444,Female,Documentary,High,1.338793789266564
