id,light_lvl,text_diff,wpm
22,Brilliant,Easy,251
22,Brilliant,Medium,207
22,Brilliant,Hard,220
23,Dim,Easy,193
23,Dim,Medium,184
23,Dim,Hard,142
23,Moderate,Easy,214
23,Moderate,Medium,167
23,Moderate,Hard,146
23,Clear,Easy,243
23,Clear,Medium,219
23,Clear,Hard,170
23,Brilliant,Easy,252
23,Brilliant,Medium,214
23,Brilliant,Hard,184
24,Dim,Easy,214
24,Dim,Medium,201
24,Dim,Hard,175
24,Moderate,Easy,216
24,Moderate,Medium,183
24,Moderate,Hard,172
24,Clear,Easy,240
24,Clear,Medium,208
24,Clear,Hard,178
24,Brilliant,Easy,244
24,Brilliant,Medium,222
24,Brilliant,Hard,217
25,Dim,Easy,117
25,Dim,Medium,114
25,Dim,Hard,82
25,Moderate,Easy,141
25,Moderate,Medium,150
25,Moderate,Hard,100
25,Clear,Easy,138
25,Clear,Medium,155
25,Clear,Hard,124
25,Brilliant,Easy,190
25,Brilliant,Medium,154
25,Brilliant,Hard,116
26,Dim,Easy,209
26,Dim,Medium,179
26,Dim,Hard,162
26,Moderate,Easy,222
26,Moderate,Medium,199
26,Moderate,Hard,150
26,Clear,Easy,271
26,Clear,Medium,202
26,Clear,Hard,174
26,Brilliant,Easy,235
26,Brilliant,Medium,225
26,Brilliant,Hard,180
27,Dim,Easy,194
27,Dim,Medium,171
27,Dim,Hard,143
27,Moderate,Easy,191
27,Moderate,Medium,221
27,Moderate,Hard,158
27,Clear,Easy,243
27,Clear,Medium,200
27,Clear,Hard,178
27,Brilliant,Easy,250
27,Brilliant,Medium,214
27,Brilliant,Hard,208
28,Dim,Easy,240
28,Dim,Medium,188
28,Dim,Hard,154
28,Moderate,Easy,222
28,Moderate,Medium,199
28,Moderate,Hard,159
28,Clear,Easy,261
28,Clear,Medium,216
28,Clear,Hard,177
28,Brilliant,Easy,233
28,Brilliant,Medium,242
28,Brilliant,Hard,209
29,Dim,Easy,189
29,Dim,Medium,172
29,Dim,Hard,139
29,Moderate,Easy,218
29,Moderate,Medium,221
29,Moderate,Hard,170
29,Clear,Easy,221
29,Clear,Medium,201
29,Clear,Hard,182
29,Brilliant,Easy,250
29,Brilliant,Medium,200
29,Brilliant,Hard,181
30,Dim,Easy,227
30,Dim,Medium,209
30,Dim,Hard,224
30,Moderate,Easy,246
30,Moderate,Medium,254
30,Moderate,Hard,191
30,Clear,Easy,264
30,Clear,Medium,241
30,Clear,Hard,212
30,Brilliant,Easy,305
30,Brilliant,Medium,301
30,Brilliant,Hard,258
31,Dim,Easy,208
31,Dim,Medium,193
31,Dim,Hard,181
31,Moderate,Easy,223
31,Moderate,Medium,200
31,Moderate,Hard,156
31,Clear,Easy,246
31,Clear,Medium,212
31,Clear,Hard,177
31,Brilliant,Easy,266
31,Brilliant,Medium,233
31,Brilliant,Hard,226
32,Dim,Easy,139
32,Dim,Medium,142
32,Dim,Hard,92
32,Moderate,Easy,192
32,Moderate,Medium,151
32,Moderate,Hard,108
32,Clear,Easy,195
32,Clear,Medium,185
32,Clear,Hard,149
32,Brilliant,Easy,177
32,Brilliant,Medium,175
32,Brilliant,Hard,195
33,Dim,Easy,115
33,Dim,Medium,114
33,Dim,Hard,85
33,Moderate,Easy,122
33,Moderate,Medium,156
33,Moderate,Hard,90
33,Clear,Easy,164
33,Clear,Medium,155
33,Clear,Hard,100
33,Brilliant,Easy,200
33,Brilliant,Medium,159
33,Brilliant,Hard,105
34,Dim,Easy,164
34,Dim,Medium,138
34,Dim,Hard,117
34,Moderate,Easy,220
34,Moderate,Medium,148
34,Moderate,Hard,136
34,Clear,Easy,181
34,Clear,Medium,174
34,Clear,Hard,125
34,Brilliant,Easy,182
34,Brilliant,Medium,180
34,Brilliant,Hard,173
35,Dim,Easy,159
35,Dim,Medium,125
35,Dim,Hard,108
35,Moderate,Easy,145
35,Moderate,Medium,134
35,Moderate,Hard,106
35,Clear,Easy,182
35,Clear,Medium,164
35,Clear,Hard,127
35,Brilliant,Easy,170
35,Brilliant,Medium,175
35,Brilliant,Hard,148
36,Dim,Easy,127
36,Dim,Medium,163
36,Dim,Hard,131
36,Moderate,Easy,209
36,Moderate,Medium,162
36,Moderate,Hard,137
36,Clear,Easy,180
36,Clear,Medium,180
36,Clear,Hard,118
36,Brilliant,Easy,186
36,Brilliant,Medium,172
36,Brilliant,Hard,174
