"Subject","Condition","Score"
137,"G2",196.049942603967
102,"G1",455.745962983419
87,"G2",309.274696501071
47,"G2",191.111485045296
305,"G2",286.748736369859
26,"G1",568.857455278021
177,"G2",252.309254136141
212,"G2",333.215845897032
226,"G2",336.434830530512
295,"G2",288.674327561685
80,"G2",226.666632097893
32,"G2",323.345240383397
143,"G1",427.800117799521
135,"G2",351.648681991863
299,"G2",210.114364567403
199,"G1",410.02170420851
40,"G1",446.432175333289
168,"G2",188.995626262411
323,"G1",518.523590032258
58,"G1",500.374814496372
293,"G1",450.380716545505
312,"G1",563.438230203548
139,"G2",251.700684019032
253,"G2",286.486398389802
47,"G1",473.625218747802
220,"G2",316.286395478967
64,"G1",425.7166809384
225,"G1",420.751947026478
288,"G2",269.451230455942
129,"G1",467.102843118661
297,"G2",232.897211372501
22,"G1",602.001680738724
12,"G2",208.79531986586
239,"G2",223.530640359757
225,"G2",270.527525543741
161,"G2",189.047474397482
306,"G1",567.27079458479
81,"G2",243.606535673012
299,"G1",505.926716160877
170,"G1",463.282169797039
61,"G1",422.660882660665
146,"G1",456.708199828522
319,"G2",189.872944392677
75,"G2",318.924184245842
32,"G1",455.497571930116
207,"G1",753.516976304835
150,"G1",552.069061457471
206,"G1",627.130586012524
87,"G1",390.336437113331
79,"G1",542.604963877811
229,"G2",232.120206967429
300,"G1",597.824922370327
261,"G1",407.661825358553
208,"G2",312.771534688648
234,"G2",290.069216986836
84,"G2",241.868118662916
141,"G1",600.103031288293
139,"G1",555.079147312944
218,"G1",414.841203742784
82,"G1",473.21511220622
117,"G1",520.797144776917
266,"G1",478.530603280559
273,"G1",438.198829049209
316,"G1",475.939026579027
326,"G1",534.157128834946
40,"G2",156.191787644146
202,"G1",434.139016290899
178,"G2",219.820800371177
235,"G1",453.353117885682
319,"G1",614.412552982552
5,"G1",424.821876766412
241,"G1",495.842715924757
116,"G1",525.593918167296
23,"G2",278.488203417035
195,"G1",424.995447565621
8,"G1",594.915731649758
307,"G1",472.591934227557
308,"G2",255.093350423107
28,"G1",458.367818555745
217,"G2",337.935522827898
179,"G1",442.624408976231
152,"G2",378.643710849232
172,"G1",497.875710261963
92,"G2",257.510274881886
292,"G2",292.762569563453
43,"G1",553.42522589855
213,"G1",426.326831268586
233,"G1",542.526081802903
165,"G1",512.713151059325
126,"G1",515.500090299862
158,"G2",352.845571856081
221,"G1",408.142294187451
74,"G2",172.38733021923
48,"G1",402.633940726824
55,"G1",407.959588760261
157,"G2",164.312321038257
107,"G2",329.307997439007
77,"G1",618.412882751852
100,"G1",442.717140624303
262,"G2",352.4387135127
267,"G1",436.76636747186
325,"G1",430.853278118722
22,"G2",325.191973247201
31,"G2",233.629262662258
130,"G1",544.841192362969
41,"G2",350.852171136361
86,"G2",301.238256313619
27,"G2",264.427359009004
99,"G2",325.263197575303
151,"G2",322.385837489743
19,"G1",630.484635782362
13,"G2",276.242452381307
30,"G1",595.092356672747
274,"G1",471.028660302189
3,"G2",196.015976104864
56,"G1",795.374750155428
131,"G1",403.527156657067
326,"G2",318.701177929387
204,"G2",211.152459205315
302,"G2",303.37989490295
192,"G1",583.775737234828
134,"G2",257.697762753788
284,"G2",268.397829252727
8,"G2",211.335312538823
55,"G2",297.961922341847
81,"G1",479.48439605769
116,"G2",220.745039732173
312,"G2",380.499935971634
91,"G2",244.628278374035
182,"G1",401.458883846291
201,"G1",541.139554386899
169,"G1",604.385388551249
246,"G1",440.989039786563
172,"G2",300.676804718829
25,"G1",473.635727209552
292,"G1",396.022571192618
181,"G2",368.787338171659
12,"G1",399.782633635175
92,"G1",679.394924657352
10,"G2",248.609253903368
226,"G1",427.851480551278
175,"G1",561.734279761895
29,"G2",363.812771954357
245,"G2",208.746648670519
183,"G2",189.218831464298
33,"G2",320.857502140876
260,"G2",178.521884671331
56,"G2",167.767808667416
1,"G2",257.256749882138
316,"G2",254.647870625135
194,"G2",288.304414906326
275,"G1",634.785556982168
280,"G2",235.427863220308
20,"G1",454.513450324509
220,"G1",534.202066292189
127,"G2",345.35880328093
4,"G2",182.375371211258
218,"G2",189.152942155102
184,"G1",602.80749872628
258,"G2",252.170295951879
270,"G1",490.277053631108
122,"G2",219.463446578996
242,"G1",437.92360997847
42,"G1",714.908958817083
235,"G2",245.347124621182
259,"G1",481.506047926573
301,"G2",359.031872258787
26,"G2",273.159825808146
221,"G2",189.617905480983
45,"G1",488.720206105148
65,"G2",159.579793234294
283,"G2",233.365470673333
240,"G2",265.33799760412
142,"G1",396.887962037165
310,"G2",195.658666147826
164,"G2",263.579937321057
197,"G2",343.220337515809
164,"G1",534.270144091586
25,"G2",270.857948778559
181,"G1",505.712083848485
174,"G2",276.424515734809
252,"G1",537.029999396089
239,"G1",553.840019817149
261,"G2",272.103559650936
88,"G2",233.657365253953
67,"G2",286.219334355126
90,"G1",435.909534389242
183,"G1",436.684837637315
88,"G1",574.476772225236
264,"G2",392.693899693648
240,"G1",509.935530025038
125,"G2",290.537951847924
148,"G2",226.337273036033
89,"G1",448.285173088101
254,"G2",287.416643504673
173,"G2",300.680302160223
98,"G1",407.054607371377
124,"G1",434.688840698637
97,"G1",601.901260146457
20,"G2",297.169678865146
53,"G2",208.673325941885
286,"G2",351.907485989663
173,"G1",499.995751521019
119,"G1",428.603405402403
134,"G1",540.620437658749
105,"G1",420.592443442048
250,"G2",359.788868086899
219,"G1",432.540736624657
29,"G1",590.583080479682
85,"G1",448.282916468522
216,"G2",244.815661204419
231,"G2",205.682428107103
203,"G2",271.524833150875
320,"G2",262.561503733958
44,"G1",409.556222446121
63,"G1",528.835238842776
74,"G1",692.534573836775
217,"G1",527.561126761619
149,"G2",306.505502528851
167,"G1",460.898596037009
250,"G1",618.396483931389
204,"G1",482.991906578681
93,"G2",333.09882068673
57,"G1",633.077288493127
128,"G1",567.361899685283
31,"G1",520.278524180872
54,"G2",260.338618372741
303,"G2",270.053652157656
18,"G1",491.434397881696
191,"G1",553.328889777292
210,"G1",421.080264475602
180,"G2",265.840862096155
294,"G2",170.975754232955
83,"G2",276.576288602475
114,"G2",187.550611118919
171,"G2",386.607851233467
103,"G2",348.403946906918
131,"G2",357.732966469896
35,"G1",515.412073250098
163,"G2",161.065394234693
91,"G1",499.401218560289
196,"G2",181.028916466429
148,"G1",474.594375519555
304,"G1",526.455656148997
291,"G1",509.781881993593
201,"G2",404.966865129898
10,"G1",529.367739392238
6,"G1",496.741605510977
113,"G2",332.250093532595
121,"G1",461.976659648122
52,"G2",254.052723382828
111,"G1",587.226770370442
69,"G2",233.885111175852
176,"G2",253.864317545413
232,"G1",582.599338396764
52,"G1",511.901983411114
120,"G1",618.240725418377
285,"G1",512.588490678641
152,"G1",426.298500718308
162,"G2",280.685604781119
37,"G2",235.592452797582
244,"G1",413.045159016045
89,"G2",318.689106458279
122,"G1",456.593346875722
191,"G2",326.095217236106
135,"G1",465.765775922729
49,"G1",585.473455031666
161,"G1",424.979864128041
178,"G1",652.936792896653
113,"G1",599.823288315111
278,"G1",480.748130757077
70,"G1",619.173312299064
59,"G2",329.515074578672
41,"G1",661.184282646022
132,"G1",453.655279711234
117,"G2",218.769542536662
155,"G2",338.504872707332
166,"G2",301.971001122781
269,"G1",488.674936838209
216,"G1",453.521284458735
202,"G2",336.5404247067
268,"G2",227.39792234517
313,"G1",470.665943346514
4,"G1",551.336007476055
188,"G1",581.084367944416
14,"G2",382.540086722956
110,"G2",208.186864428016
108,"G1",597.444871115093
54,"G1",593.349566850153
15,"G1",523.550833652294
271,"G1",546.36876586485
42,"G2",291.77354230676
322,"G1",555.168357289464
279,"G2",258.407454853599
224,"G2",208.289140401166
138,"G1",511.720797411966
17,"G1",418.175202056802
189,"G1",478.875878954142
215,"G2",152.497402871315
36,"G2",351.285519332974
75,"G1",438.843063478783
1,"G1",548.846837753355
282,"G1",483.926034983784
60,"G2",282.186353154943
203,"G1",424.892655604575
185,"G2",432.651223906299
70,"G2",232.467510165063
38,"G1",467.32173181336
211,"G2",228.091786004117
318,"G1",403.20922751801
206,"G2",236.510414343658
35,"G2",344.101373012298
45,"G2",261.230598058657
64,"G2",236.628494054318
93,"G1",479.94786255213
76,"G1",483.88487137884
57,"G2",274.452388117676
66,"G2",295.473048794064
147,"G1",513.57720322072
165,"G2",268.254210180786
156,"G2",276.239282717427
21,"G2",271.117573151813
156,"G1",552.356288900162
118,"G2",352.476052235823
106,"G2",144.205142389538
285,"G2",338.876585098454
210,"G2",334.889904790926
151,"G1",412.978540328147
190,"G2",276.355600562507
291,"G2",258.948644130826
159,"G1",501.299986269558
101,"G1",606.594658089226
77,"G2",231.587381705765
287,"G2",299.232289315899
249,"G1",406.14517572482
73,"G1",410.248042264116
154,"G2",300.41706861124
85,"G2",352.411220143642
78,"G1",466.164727931305
279,"G1",511.003388348554
118,"G1",528.756302363134
244,"G2",352.794787585181
145,"G1",427.953767284153
230,"G1",399.145172432464
121,"G2",179.404976191948
293,"G2",315.761618203265
246,"G2",320.570645274723
223,"G1",410.010418650135
133,"G2",251.264086640494
2,"G1",411.69300888177
127,"G1",406.001509399911
60,"G1",587.254801846392
222,"G1",531.764217302338
149,"G1",550.129085381952
7,"G1",418.033359428177
258,"G1",687.431359884579
296,"G2",306.8025914842
49,"G2",379.460275101826
264,"G1",430.225394563674
182,"G2",281.786677156409
76,"G2",197.41464864441
140,"G1",582.469995795811
9,"G1",465.17991287449
160,"G2",191.703564006791
196,"G1",608.856920858211
123,"G1",401.308078619183
238,"G2",297.878560043505
154,"G1",575.192111461365
78,"G2",328.201217279086
324,"G1",675.017645952814
80,"G1",499.252032036666
315,"G2",352.561929572004
83,"G1",432.965761764115
223,"G2",223.418328217832
145,"G2",260.345434609722
289,"G2",229.372845299528
266,"G2",247.908678852145
280,"G1",487.740796364622
72,"G1",582.11955227817
48,"G2",270.636685324351
59,"G1",553.122762780908
107,"G1",469.802216087549
187,"G2",286.923961768346
157,"G1",457.829244097419
230,"G2",286.672504195721
311,"G2",316.000875585081
298,"G2",209.984428998125
28,"G2",280.964745183732
24,"G1",482.979058290609
169,"G2",287.912364765582
247,"G2",247.900853740582
315,"G1",522.355552411767
255,"G1",504.691313014112
296,"G1",542.950294382127
287,"G1",628.880719765773
283,"G1",558.413382180765
219,"G2",346.499853836585
252,"G2",286.442910772528
123,"G2",196.377947278108
209,"G2",230.667794804806
11,"G2",342.294624840357
136,"G2",288.360613028582
108,"G2",300.730726730407
120,"G2",339.542317201637
297,"G1",552.172603788834
303,"G1",413.36122686951
109,"G1",482.077545781571
94,"G1",404.174225483658
277,"G1",465.846499156895
68,"G2",204.244507920831
133,"G1",547.547983744091
214,"G1",493.987914439708
103,"G1",571.730054122399
214,"G2",288.40030228926
272,"G2",295.538811082869
98,"G2",263.69116525467
298,"G1",444.716803078752
67,"G1",413.557000996552
307,"G2",311.12369573191
228,"G2",242.619531264409
262,"G1",475.954215840905
37,"G1",434.528037597348
237,"G1",588.935329846484
18,"G2",333.423417685177
224,"G1",407.505523447803
272,"G1",493.358626450362
186,"G1",404.662885668071
304,"G2",308.167411645868
322,"G2",288.944076594826
73,"G2",254.142775147727
27,"G1",461.19504957533
276,"G1",410.388295587501
281,"G2",328.404365666615
251,"G2",243.043800931788
227,"G1",527.426863376342
314,"G1",455.924224653461
248,"G1",499.261980028864
95,"G2",176.751639843293
245,"G1",450.234753590449
187,"G1",502.520668689374
253,"G1",577.742684514667
289,"G1",401.733305796054
205,"G2",250.61837214559
34,"G1",498.742891775105
311,"G1",424.435249751174
243,"G1",527.160972684815
99,"G1",434.270699854796
300,"G2",232.393457312263
321,"G1",407.026294574365
132,"G2",274.456162857933
301,"G1",429.00056961038
305,"G1",401.621622980827
318,"G2",307.84856394762
211,"G1",476.367235228991
96,"G1",497.740708543659
321,"G2",227.863569862656
194,"G1",448.106291070283
174,"G1",606.641484250463
234,"G1",461.616514157674
50,"G2",189.531845523884
160,"G1",514.063720005666
143,"G2",138.765305866132
24,"G2",251.236653688551
96,"G2",401.638595725588
198,"G1",595.253948060993
314,"G2",332.087658659231
13,"G1",417.730215388495
317,"G1",645.36132649044
237,"G2",242.752311373789
16,"G1",617.960438387081
19,"G2",252.638952704251
16,"G2",177.164102973442
325,"G2",233.854492239205
6,"G2",136.774082890493
9,"G2",221.152768934822
189,"G2",262.90306757409
209,"G1",411.87188451801
144,"G2",272.409334972526
236,"G2",230.66826574657
84,"G1",429.884598226077
72,"G2",200.795523952321
176,"G1",502.402083739988
137,"G1",491.034647792802
228,"G1",423.01086714184
155,"G1",491.975646223791
51,"G2",237.045916772619
168,"G1",491.69739299026
119,"G2",234.419518935632
110,"G1",461.001736581391
58,"G2",249.670027490494
125,"G1",491.101123902487
102,"G2",231.285416609751
112,"G1",478.368656717357
34,"G2",364.570786052475
193,"G1",615.754814789419
265,"G1",471.221098289064
313,"G2",118.156715944718
317,"G2",261.483432708623
290,"G1",414.8096250432
308,"G1",636.882565254287
141,"G2",351.287685183672
140,"G2",366.79150912861
277,"G2",287.832673029698
46,"G1",399.970605046478
66,"G1",517.305832737222
109,"G2",256.063612788654
68,"G1",583.931149719738
320,"G1",445.918983309553
200,"G1",479.88453289592
288,"G1",506.35646367154
153,"G2",295.356933887416
184,"G2",264.736173622808
231,"G1",408.774395505064
44,"G2",268.471504937949
79,"G2",326.284623443528
248,"G2",230.169522899312
14,"G1",470.193918303116
212,"G1",418.78552551587
115,"G2",205.486852715117
324,"G2",330.855984531832
263,"G1",574.413875016734
142,"G2",327.529658775699
97,"G2",378.824374417119
256,"G2",236.415259363829
247,"G1",726.294324412307
62,"G2",379.452808898384
268,"G1",540.223224205728
43,"G2",180.49609834751
295,"G1",463.818839953523
309,"G2",347.930528496545
306,"G2",162.068352954504
197,"G1",522.810357366124
82,"G2",264.49279455977
229,"G1",490.267531592144
7,"G2",363.814316893012
185,"G1",461.709350510392
90,"G2",209.369913758037
323,"G2",206.242071951899
170,"G2",179.70581747678
147,"G2",229.968264946695
190,"G1",535.747229977642
180,"G1",509.45816647909
71,"G1",629.150676187005
274,"G2",251.443815083295
208,"G1",573.414213406076
294,"G1",663.215187449473
207,"G2",368.170519203601
2,"G2",352.556956506793
175,"G2",214.276433875848
193,"G2",274.082300251044
101,"G2",311.053949401487
