"id","schedule","prior_exp","responses"
89,"FR","Inexperienced",65
90,"FR","Inexperienced",65
91,"FR","Experienced",119
92,"FR","Experienced",109
93,"FR","Experienced",122
94,"FR","Experienced",112
95,"FR","Experienced",121
96,"FR","Experienced",125
97,"FR","Experienced",191
98,"FR","Experienced",110
99,"FR","Experienced",110
100,"FR","Experienced",119
101,"FR","Experienced",129
102,"FR","Experienced",119
103,"FR","Experienced",108
104,"FR","Experienced",108
105,"FR","Experienced",127
106,"FR","Experienced",114
107,"FR","Experienced",128
108,"FR","Experienced",110
109,"FR","Experienced",129
110,"FR","Experienced",133
111,"FR","Experienced",113
112,"FR","Experienced",120
113,"FR","Experienced",114
114,"FR","Experienced",187
115,"FR","Experienced",116
116,"FR","Experienced",108
117,"FR","Experienced",110
118,"FR","Experienced",113
119,"FR","Experienced",142
120,"FR","Experienced",158
121,"VR","Inexperienced",106
122,"VR","Inexperienced",105
123,"VR","Inexperienced",114
124,"VR","Inexperienced",125
125,"VR","Inexperienced",114
126,"VR","Inexperienced",115
127,"VR","Inexperienced",98
128,"VR","Inexperienced",110
129,"VR","Inexperienced",98
130,"VR","Inexperienced",111
131,"VR","Inexperienced",106
132,"VR","Inexperienced",118
133,"VR","Inexperienced",104
134,"VR","Inexperienced",96
135,"VR","Inexperienced",99
136,"VR","Inexperienced",102
137,"VR","Inexperienced",100
138,"VR","Inexperienced",134
139,"VR","Inexperienced",101
140,"VR","Inexperienced",115
141,"VR","Inexperienced",101
142,"VR","Inexperienced",112
143,"VR","Inexperienced",130
144,"VR","Inexperienced",102
145,"VR","Inexperienced",107
146,"VR","Inexperienced",99
147,"VR","Inexperienced",123
148,"VR","Inexperienced",98
149,"VR","Inexperienced",145
150,"VR","Inexperienced",108
151,"VR","Experienced",207
152,"VR","Experienced",166
153,"VR","Experienced",179
154,"VR","Experienced",215
155,"VR","Experienced",243
156,"VR","Experienced",201
157,"VR","Experienced",153
158,"VR","Experienced",150
159,"VR","Experienced",163
160,"VR","Experienced",174
161,"VR","Experienced",159
162,"VR","Experienced",164
163,"VR","Experienced",249
164,"VR","Experienced",154
165,"VR","Experienced",222
166,"VR","Experienced",189
167,"VR","Experienced",167
168,"VR","Experienced",180
169,"VR","Experienced",222
170,"VR","Experienced",208
171,"VR","Experienced",197
172,"VR","Experienced",155
173,"VR","Experienced",159
174,"VR","Experienced",160
175,"VR","Experienced",164
176,"VR","Experienced",170
177,"VR","Experienced",171
178,"VR","Experienced",169
179,"VR","Experienced",183
180,"VR","Experienced",164
181,"RR","Inexperienced",116
182,"RR","Inexperienced",142
183,"RR","Inexperienced",103
184,"RR","Inexperienced",97
185,"RR","Inexperienced",101
186,"RR","Inexperienced",107
187,"RR","Inexperienced",107
188,"RR","Inexperienced",128
189,"RR","Inexperienced",129
190,"RR","Inexperienced",120
191,"RR","Inexperienced",125
192,"RR","Inexperienced",97
193,"RR","Inexperienced",113
194,"RR","Inexperienced",107
195,"RR","Inexperienced",106
196,"RR","Inexperienced",98
197,"RR","Inexperienced",114
198,"RR","Inexperienced",109
199,"RR","Inexperienced",128
200,"RR","Inexperienced",99
201,"RR","Inexperienced",120
202,"RR","Inexperienced",111
203,"RR","Inexperienced",118
204,"RR","Inexperienced",109
205,"RR","Inexperienced",117
206,"RR","Inexperienced",119
207,"RR","Inexperienced",98
208,"RR","Inexperienced",95
209,"RR","Inexperienced",96
210,"RR","Inexperienced",129
211,"RR","Experienced",121
212,"RR","Experienced",120
213,"RR","Experienced",143
214,"RR","Experienced",188
215,"RR","Experienced",129
216,"RR","Experienced",121
217,"RR","Experienced",125
218,"RR","Experienced",162
219,"RR","Experienced",172
220,"RR","Experienced",128
221,"RR","Experienced",125
222,"RR","Experienced",129
223,"RR","Experienced",145
224,"RR","Experienced",137
225,"RR","Experienced",132
226,"RR","Experienced",120
227,"RR","Experienced",160
228,"RR","Experienced",125
229,"RR","Experienced",142
230,"RR","Experienced",132
231,"RR","Experienced",153
232,"RR","Experienced",155
233,"RR","Experienced",137
234,"RR","Experienced",127
235,"RR","Experienced",140
236,"RR","Experienced",190
237,"RR","Experienced",125
238,"RR","Experienced",151
239,"RR","Experienced",134
240,"RR","Experienced",123
