incident_id,anxiety_score,water_turbidity,viewer_status,peak_summer,incident_date
90,41.2,9.3,Pre-Release,No,1972-10-21
91,41.8,10.3,Pre-Release,No,1972-10-25
92,61,20.5,Pre-Release,No,1972-11-16
93,37.3,8.3,Pre-Release,No,1972-11-21
94,35.8,10.1,Pre-Release,No,1972-12-01
95,44.1,11.8,Pre-Release,No,1972-12-23
96,49.1,13.7,Pre-Release,No,1972-12-30
97,56.8,21.1,Pre-Release,No,1973-01-13
98,46.9,15.1,Pre-Release,No,1973-01-16
99,33.3,4.8,Pre-Release,No,1973-01-23
100,42.7,10.9,Pre-Release,No,1973-01-26
101,41.7,6.2,Pre-Release,No,1973-02-07
102,33.8,2.4,Pre-Release,No,1973-02-24
103,40.9,4.9,Pre-Release,No,1973-03-07
104,56.6,19.4,Pre-Release,No,1973-03-08
105,32.2,7.1,Pre-Release,No,1973-03-29
106,40.3,5.1,Pre-Release,No,1973-04-09
107,49.4,8.2,Pre-Release,No,1973-04-11
108,33.1,4.9,Pre-Release,No,1973-05-23
109,39.2,6.1,Pre-Release,No,1973-06-16
110,51.6,14.7,Pre-Release,No,1973-06-19
111,52.5,13,Pre-Release,Yes,1973-07-01
112,52.6,16.6,Pre-Release,Yes,1973-07-21
113,45.8,15,Pre-Release,Yes,1973-07-28
114,63.7,29.4,Pre-Release,Yes,1973-08-19
115,55.6,10.8,Pre-Release,Yes,1973-08-30
116,91,68.6,Pre-Release,No,1973-09-10
117,65.2,21.2,Pre-Release,No,1973-09-15
118,80.2,55.9,Pre-Release,No,1973-10-04
119,40.3,8,Pre-Release,No,1973-10-04
120,51.8,21.6,Pre-Release,No,1973-10-12
121,37.6,7.2,Pre-Release,No,1973-11-02
122,59.7,28.7,Pre-Release,No,1973-12-04
123,49,18.6,Pre-Release,No,1973-12-14
124,38,10.4,Pre-Release,No,1973-12-30
125,43.5,12.5,Pre-Release,No,1974-01-17
126,63.7,26.8,Pre-Release,No,1974-01-17
127,34.2,3.7,Pre-Release,No,1974-02-06
128,42.3,10,Pre-Release,No,1974-02-21
129,48.7,8.1,Pre-Release,No,1974-02-28
130,34.6,5.4,Pre-Release,No,1974-03-07
131,51,16.8,Pre-Release,No,1974-03-23
132,54.4,31.9,Pre-Release,No,1974-03-25
133,41.9,10.5,Pre-Release,No,1974-03-31
134,42.4,7.4,Pre-Release,No,1974-04-08
135,64,24.5,Pre-Release,No,1974-04-29
136,43.9,13.3,Pre-Release,No,1974-05-14
137,44.3,6.5,Pre-Release,No,1974-05-28
138,64,25,Pre-Release,No,1974-06-27
139,39.9,10.6,Pre-Release,No,1974-06-30
140,41,5.3,Pre-Release,Yes,1974-07-02
141,46.8,6.7,Pre-Release,Yes,1974-08-18
142,65.6,27.9,Pre-Release,Yes,1974-08-27
143,94.2,78.5,Pre-Release,No,1974-09-12
144,40.9,9.9,Pre-Release,No,1974-09-18
145,55.3,33.4,Pre-Release,No,1974-09-30
146,38.8,10.2,Pre-Release,No,1974-10-01
147,45,16.7,Pre-Release,No,1974-10-07
148,56.2,14.8,Pre-Release,No,1974-10-22
149,34.6,6.8,Pre-Release,No,1974-10-25
150,35.4,8.3,Pre-Release,No,1974-10-29
151,36.7,16,Pre-Release,No,1974-11-20
152,38.9,3.5,Pre-Release,No,1974-11-23
153,51.6,24.9,Pre-Release,No,1974-11-24
154,37.9,4,Pre-Release,No,1974-12-10
155,42.3,17.3,Pre-Release,No,1974-12-11
156,46.3,13.8,Pre-Release,No,1974-12-13
157,46.8,14.1,Pre-Release,No,1974-12-14
158,42.3,7.6,Pre-Release,No,1974-12-19
159,31.3,5.4,Pre-Release,No,1974-12-20
160,53.7,17.5,Pre-Release,No,1974-12-21
161,45.8,20.3,Pre-Release,No,1974-12-22
162,48.3,9.8,Pre-Release,No,1975-01-05
163,40.7,9.7,Pre-Release,No,1975-01-09
164,52.3,4.9,Pre-Release,No,1975-01-16
165,47.2,7.5,Pre-Release,No,1975-01-23
166,46.6,11.2,Pre-Release,No,1975-01-24
167,35.3,9,Pre-Release,No,1975-02-13
168,39.8,6.7,Pre-Release,No,1975-02-19
169,32.5,8.6,Pre-Release,No,1975-02-24
170,52.7,24.8,Pre-Release,No,1975-03-02
171,47.4,7.6,Pre-Release,No,1975-03-04
172,56.2,26.1,Pre-Release,No,1975-04-16
173,44.5,5,Pre-Release,No,1975-04-18
174,76.1,48.5,Pre-Release,No,1975-04-30
175,50.9,9.9,Pre-Release,No,1975-04-30
176,66.3,15.3,Viewer,No,1975-06-23
177,86.8,32.7,Viewer,No,1975-06-30
178,74.7,20.8,Viewer,Yes,1975-07-16
179,60.9,18.4,Non-Viewer,Yes,1975-08-10
180,55.9,9.8,Viewer,No,1975-09-13
181,75.6,22.2,Viewer,No,1975-09-13
182,60.6,28.4,Non-Viewer,No,1975-09-16
183,80.1,30.5,Viewer,No,1975-09-26
184,59.5,12.1,Viewer,No,1975-10-03
185,78.7,24.3,Viewer,No,1975-10-06
186,57.1,20,Viewer,No,1975-10-13
187,72.6,22.2,Viewer,No,1975-10-17
188,47.6,2.4,Viewer,No,1975-10-25
189,80.5,26.9,Viewer,No,1975-10-29
190,53.1,8.5,Non-Viewer,No,1975-11-02
191,46.8,14.8,Non-Viewer,No,1975-11-18
192,54.5,7.5,Viewer,No,1975-11-22
193,60,9.2,Viewer,No,1975-11-30
194,49.4,19.1,Non-Viewer,No,1975-12-12
195,87.1,36.9,Viewer,No,1975-12-17
196,61.2,30.2,Non-Viewer,No,1976-01-02
197,65.4,20,Viewer,No,1976-01-10
198,45.8,8.3,Non-Viewer,No,1976-01-10
199,41.9,6.7,Non-Viewer,No,1976-01-26
200,56.6,13,Viewer,No,1976-02-28
201,75.8,20.3,Viewer,No,1976-03-04
202,59.3,30,Non-Viewer,No,1976-03-19
203,43.1,2.8,Non-Viewer,No,1976-04-17
204,53.3,18.8,Non-Viewer,No,1976-05-07
205,81.9,60,Non-Viewer,No,1976-05-17
206,182.3,115.8,Viewer,No,1976-06-21
207,38.9,4.5,Non-Viewer,No,1976-06-26
208,58,8.3,Viewer,Yes,1976-07-18
209,49,16.1,Non-Viewer,Yes,1976-08-10
210,101.3,47,Viewer,No,1976-09-07
211,54,7.5,Viewer,No,1976-09-12
212,72.6,20,Viewer,No,1976-09-12
213,61,14,Viewer,No,1976-10-24
214,59.1,5.7,Viewer,No,1976-11-04
215,43.8,3.3,Viewer,No,1976-11-17
216,71,24.3,Viewer,No,1976-11-23
217,63.2,11.6,Viewer,No,1976-12-02
218,112,60.8,Viewer,No,1976-12-03
219,41.5,18,Non-Viewer,No,1976-12-31
220,59.1,18.6,Viewer,No,1977-01-04
221,56.8,5.6,Viewer,No,1977-01-22
222,79.3,28.2,Viewer,No,1977-01-24
223,63.1,8.7,Viewer,No,1977-01-31
224,62,21.2,Non-Viewer,No,1977-02-12
225,52.2,4.5,Viewer,No,1977-02-16
226,67.2,15.2,Viewer,No,1977-03-03
227,76.9,22.5,Viewer,No,1977-03-16
228,67.9,16,Viewer,No,1977-03-21
229,65.4,16,Viewer,No,1977-04-06
230,47.6,4,Viewer,No,1977-05-03
231,53.7,5.1,Viewer,No,1977-05-10
232,55.9,14.2,Viewer,No,1977-06-01
233,71,19.3,Viewer,No,1977-06-10
234,41,6.5,Non-Viewer,Yes,1977-07-05
235,54.2,11.2,Non-Viewer,Yes,1977-07-10
236,74.3,14,Viewer,Yes,1977-07-21
237,69.1,7.7,Viewer,Yes,1977-08-03
238,86.5,14,Viewer,Yes,1977-08-06
239,66.6,12.2,Viewer,Yes,1977-08-21
240,50.9,9,Non-Viewer,Yes,1977-08-24
241,60.3,14.9,Non-Viewer,Yes,1977-08-26
242,49,5.5,Viewer,No,1977-09-01
243,62.6,15.4,Viewer,No,1977-09-03
244,49,8,Non-Viewer,No,1977-09-06
245,69.2,21.1,Viewer,No,1977-09-15
246,63.9,13.7,Viewer,No,1977-09-27
247,52.8,13.7,Viewer,No,1977-10-12
248,57.4,13.5,Viewer,No,1977-10-15
249,61.5,15.3,Viewer,No,1977-10-19
250,73.1,21.8,Viewer,No,1977-10-20
251,78.6,20,Viewer,No,1977-10-29
252,65.3,12.1,Viewer,No,1977-11-20
253,56,6.6,Viewer,No,1977-12-12
254,45.9,16.7,Non-Viewer,No,1977-12-15
255,64.1,13.2,Viewer,No,1977-12-22
256,66.3,15.2,Viewer,No,1978-01-04
257,69.3,23.8,Viewer,No,1978-02-18
258,38.1,11.1,Non-Viewer,No,1978-03-03
259,56.3,7.9,Viewer,No,1978-03-03
260,71.4,16.8,Viewer,No,1978-03-29
261,63.9,9.4,Viewer,No,1978-04-15
262,84.4,43.3,Viewer,No,1978-05-25
263,75.2,27,Viewer,No,1978-05-28
264,75.9,21.7,Viewer,No,1978-06-04
265,54,10.1,Viewer,No,1978-06-04
266,61.8,13.1,Viewer,No,1978-06-27
267,96.3,27,Viewer,Yes,1978-08-18
268,60.4,26.6,Non-Viewer,No,1978-09-09
269,53.6,17.9,Non-Viewer,No,1978-10-04
270,58.1,9.4,Viewer,No,1978-10-09
271,60.8,4.9,Viewer,No,1978-10-14
272,57.4,5.3,Viewer,No,1978-10-31
273,53.5,5.8,Viewer,No,1978-11-06
274,53.6,15.6,Non-Viewer,No,1978-11-25
275,91.1,28.6,Viewer,No,1978-11-25
276,59.5,6.3,Viewer,No,1978-12-14
277,59.1,9.7,Viewer,No,1978-12-21
278,45.1,13.9,Non-Viewer,No,1978-12-23
279,67.9,16.4,Viewer,No,1978-12-28
280,44.9,18,Non-Viewer,No,1979-01-02
281,54.2,6.1,Viewer,No,1979-01-02
282,59.3,13.8,Viewer,No,1979-01-12
283,96,50,Viewer,No,1979-01-23
284,44.8,8.1,Non-Viewer,No,1979-01-26
285,82.6,25.9,Viewer,No,1979-02-01
286,57.9,13.8,Non-Viewer,No,1979-03-18
287,47.5,11.8,Non-Viewer,No,1979-03-21
288,31.8,4.4,Non-Viewer,No,1979-04-06
289,48.1,11.5,Non-Viewer,No,1979-04-18
290,62,10.3,Viewer,No,1979-04-21
291,79.8,28.5,Viewer,No,1979-04-24
292,70.4,18.2,Viewer,No,1979-05-09
293,55.1,20.3,Non-Viewer,No,1979-05-21
294,83.8,29.2,Viewer,No,1979-06-30
295,70,11.9,Viewer,Yes,1979-07-10
296,54.5,8.2,Viewer,Yes,1979-07-13
297,68,9,Viewer,Yes,1979-08-11
298,78.1,9.4,Viewer,Yes,1979-08-30
299,41.7,7.9,Non-Viewer,No,1979-09-03
300,63,15.3,Viewer,No,1979-09-12
301,55.5,13.6,Non-Viewer,No,1979-09-24
302,45,4.6,Non-Viewer,No,1979-09-27
303,68,15.1,Viewer,No,1979-09-29
304,59.4,14.2,Viewer,No,1979-10-05
305,51.7,5.7,Viewer,No,1979-10-12
306,83,27.8,Viewer,No,1979-10-24
307,50.8,9.8,Viewer,No,1979-10-25
308,66.8,20.1,Viewer,No,1979-11-04
309,49.3,2.9,Viewer,No,1979-11-08
310,60.4,10.4,Viewer,No,1979-11-15
311,102.2,42.3,Viewer,No,1979-11-23
312,79,27.6,Viewer,No,1979-12-14
313,44.3,5.7,Non-Viewer,No,1979-12-14
314,69.1,37.5,Non-Viewer,No,1979-12-17
315,37.7,7.9,Non-Viewer,No,1980-01-13
316,53.9,4.6,Viewer,No,1980-02-16
317,58,10.2,Viewer,No,1980-02-22
318,79.4,20.4,Viewer,No,1980-03-04
319,61.7,16.9,Viewer,No,1980-03-10
320,61.3,9,Viewer,No,1980-03-10
321,60.2,11.7,Viewer,No,1980-03-16
322,61.9,13.3,Viewer,No,1980-05-01
323,70.6,19.5,Viewer,No,1980-05-08
324,135.7,73,Viewer,No,1980-05-13
325,74,43.1,Non-Viewer,No,1980-05-17
326,68.9,29.7,Non-Viewer,No,1980-05-18
327,55,11.3,Viewer,No,1980-05-27
328,68.6,34.2,Non-Viewer,No,1980-06-13
329,52.9,10.9,Non-Viewer,No,1980-06-17
330,52.3,5.1,Viewer,No,1980-06-19
331,50.5,5.7,Viewer,No,1980-06-26
332,67.2,13.1,Viewer,Yes,1980-08-20
333,83,32.5,Viewer,No,1980-09-10
334,48.5,7.4,Non-Viewer,No,1980-09-11
335,46.4,2.5,Viewer,No,1980-09-11
336,72.3,16.6,Viewer,No,1980-09-14
337,50,6.9,Viewer,No,1980-09-15
338,46.3,7.5,Viewer,No,1980-09-18
339,64.7,13.6,Viewer,No,1980-09-21
340,68.5,17.2,Viewer,No,1980-09-22
341,40.5,4.9,Non-Viewer,No,1980-09-28
342,54.8,8.9,Viewer,No,1980-10-05
343,53.1,7.2,Viewer,No,1980-10-17
344,62.1,12.4,Viewer,No,1980-10-28
345,57.7,22.6,Non-Viewer,No,1980-11-09
346,56.4,11.6,Viewer,No,1980-11-14
347,61.2,11.6,Viewer,No,1980-11-27
348,70.3,11.5,Viewer,No,1980-12-07
349,51.7,6,Viewer,No,1980-12-09
350,74.3,23.8,Viewer,No,1980-12-10
