subject_id,delay,contingency,supp_rat
S051,60s,1.00,0.0751341683256331
S081,0s,1.00,0.08907600410694773
S216,300s,0.75,0.4161230887879721
S136,300s,0.75,0.36514297281090113
S084,300s,1.00,0.17433040469479036
S234,30s,0.25,0.2385911220256724
S058,30s,0.25,0.2566528921092386
S089,0s,0.25,0.13196189801684982
S238,30s,0.00,0.16588133044610873
S230,30s,0.75,0.1492279661655854
S173,0s,0.00,0.20991691336563867
S181,0s,0.75,0.04135184941764414
S200,300s,0.75,0.3471928819204305
S202,30s,0.25,0.20236457159131016
S237,0s,0.00,0.12590232422285874
S029,0s,0.00,0.1418761386552509
S075,60s,0.25,0.19680397936853147
S153,0s,0.25,0.26035670654427817
S063,60s,0.00,0.31987435184911983
S228,300s,1.00,0.2283896152307841
S046,30s,0.00,0.29942118402067475
S127,60s,0.00,0.34647228951316633
S139,60s,0.25,0.20948154685104944
S120,300s,0.75,0.4022361786795571
S193,0s,1.00,0.04201907790661742
S239,60s,0.00,0.29752229071363057
S129,0s,1.00,0.06714281946428058
S119,60s,0.75,0.11546114504725921
S086,30s,0.75,0.09152894847401703
S186,30s,0.25,0.19260352523676025
S002,30s,1.00,0.1295280378527083
S020,300s,1.00,0.22341301560583876
S117,0s,0.75,0.059362922740503296
S208,300s,0.00,0.49127369758529865
S022,30s,0.75,0.10696580072037301
S103,60s,0.75,0.19872289650034095
S096,300s,0.00,0.5165080091512511
S018,30s,1.00,0.05356415024760015
S065,0s,1.00,0.06077263143991836
S104,300s,0.75,0.41971265736451024
S013,0s,0.00,0.17406452857204835
S124,300s,0.25,0.4604620758007143
S221,0s,0.00,0.1685480685933179
S146,30s,1.00,0.11925720884118636
S031,60s,0.00,0.3022016050110442
S147,60s,1.00,0.11495059560632721
S180,300s,1.00,0.27726733950967264
S156,300s,0.25,0.42808588187561525
S072,300s,0.75,0.4098600625830594
S140,300s,0.25,0.4626628166682152
S176,300s,0.00,0.45041539822570004
S151,60s,0.75,0.10284877433902295
S157,0s,0.00,0.21358626600177633
S033,0s,1.00,0.056403163808583734
S222,30s,0.00,0.21128562791435263
S028,300s,0.25,0.4356523290476281
S001,0s,1.00,0.0017545499640588338
S069,0s,0.75,0.0749673597126825
S204,300s,0.25,0.458434725553225
S163,60s,1.00,0.11687654003320415
S175,60s,0.00,0.35862832873557826
S040,300s,0.75,0.4234999051665661
S054,30s,0.75,0.14777481464070427
S203,60s,0.25,0.22007997687850206
S219,60s,0.25,0.17762893407751407
S179,60s,1.00,0.13156432986549174
S183,60s,0.75,0.13497849238868764
S100,300s,1.00,0.16309675673193183
S158,30s,0.00,0.2157192518792808
S236,300s,0.25,0.4308897990322924
S152,300s,0.75,0.4302271537440445
S099,60s,1.00,0.0893175762035854
S128,300s,0.00,0.5034548772933295
S042,30s,0.25,0.18567364349133353
S210,30s,1.00,0.10018223351567863
S047,60s,0.00,0.3853237067931873
S132,300s,1.00,0.19798567884126758
S184,300s,0.75,0.38548321309888567
S225,0s,1.00,0.041342553118551506
S218,30s,0.25,0.20832062809789922
S126,30s,0.00,0.18402325779422626
S023,60s,0.75,0.22361126834519943
S011,60s,0.25,0.299542053345328
S178,30s,1.00,0.12237787104667815
S056,300s,0.75,0.4320597267987919
S015,60s,0.00,0.23521861568911176
S057,0s,0.25,0.12365104783251225
S172,300s,0.25,0.4727816587645889
S171,60s,0.25,0.1590036129824458
S207,60s,0.00,0.23140736524421723
S213,0s,0.75,0.031983343515006576
S137,0s,0.25,0.1153979181060107
S095,60s,0.00,0.2603458374253294
S111,60s,0.00,0.18616501360982382
S036,300s,1.00,0.16576292042465735
S191,60s,0.00,0.37154517977276524
S227,60s,1.00,0.16431808925070832
S116,300s,1.00,0.2791429914451192
S024,300s,0.75,0.4747179833583012
S026,30s,0.25,0.2729782579645244
S192,300s,0.00,0.47538961879478514
S060,300s,0.25,0.4490643866054515
S224,300s,0.00,0.5197541020414268
S164,300s,1.00,0.20447723416674504
S190,30s,0.00,0.25877798729031404
S106,30s,0.25,0.17508132736037033
S154,30s,0.25,0.18981914507893377
S170,30s,0.25,0.21848550117248897
S025,0s,0.25,0.11853027120903974
S080,300s,0.00,0.5055790440387695
S044,300s,0.25,0.466318561966567
S188,300s,0.25,0.4704370864457177
S082,30s,1.00,0.08601517057263018
S113,0s,1.00,0.09665071670795468
S003,60s,1.00,0.10382716623435725
S135,60s,0.75,0.056075546879303106
S052,300s,1.00,0.10977354722474016
S094,30s,0.00,0.1863637215065383
S159,60s,0.00,0.2931528252346248
S223,60s,0.00,0.2808383803363106
S021,0s,0.75,0.07901855297472334
S217,0s,0.25,0.11217301592988528
S166,30s,0.75,0.19532679363011954
S071,60s,0.75,0.23240055566695278
S014,30s,0.00,0.2213814216155492
S079,60s,0.00,0.3389615891400272
S215,60s,0.75,0.10705166856791382
S143,60s,0.00,0.25079699389939925
S087,60s,0.75,0.14452279316755534
S155,60s,0.25,0.1416311889761992
S125,0s,0.00,0.11080821145359333
S092,300s,0.25,0.4736214986118706
S141,0s,0.00,0.11874782626299303
S070,30s,0.75,0.11861976179266391
S161,0s,1.00,0.05248926738777161
